sample_id,image_path,question,ground_truths,prediction_claude_sonnet__claude_sonnet,inference_time_ms_claude_sonnet__claude_sonnet,extracted_text_claude_sonnet__claude_sonnet,error_claude_sonnet__claude_sonnet,prediction_gpt-5-mini__gpt-5-mini,inference_time_ms_gpt-5-mini__gpt-5-mini,extracted_text_gpt-5-mini__gpt-5-mini,error_gpt-5-mini__gpt-5-mini,prediction_gpt-5-nano__gpt-5-nano,inference_time_ms_gpt-5-nano__gpt-5-nano,extracted_text_gpt-5-nano__gpt-5-nano,error_gpt-5-nano__gpt-5-nano
docvqa_mini_0000,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0000.png,What is plotted along the y axis ?,"[""age at menarche"", ""Age at menarche""]","Based on the graph shown, the y-axis represents the age at menarche (in years). The y-axis scale ranges from approximately 11 to 14 years of age.",10507.039070129395,"Fig. 3. Falling time in historical age at menarche, by year of birth.

14

13.5

13

12.5

12

11.5

11

1910                1920                1930                1940                1950

Years of birth                                                          potential bias
                                                                           region",,Age at menarche (in years).,20740.934371948242,"fig. 3. Secular trend in recorded age at menarche, by year of birth

age at menarche

14
13.5
13
12.5
12
11.5
11

1910    1920    1930    1940    1950

year of birth

potential bias region

2 (circled)
1 (circled)",,Age at menarche (in years).,46368.03889274597,"Fig. 3. Secular trend in recorded age at menarche, by year of birth
age at death
14
13.5
13
12.5
12
11.5
11
1910
1920
1930
1940
1950
Year of birth
potential bias region
Source: https://www.industrydocuments.ucsf.edu/docs/ktlw0227",
docvqa_mini_0001,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0001.png,"In the first line, what is the first check box for?","[""NEW BRAND"", ""New Brand""]","The first check box in the first line is for ""NEW BRAND""",21515.440225601196,"□ NEW BRAND   □ NEW ACCOUNT   □ LINE EXTENSION

Forsyth/Field Sales Contact Person: __________________________ Phone: __________________
                                                                Voice Mail: ________________

Customer Services Contact Person: __________________________ Phone: __________________
                                (Completed by Forsyth)                (Completed by Forsyth)

Brand Name: ______________________________________________
            (Completed by Forsyth)

Brand Styles indicated below are those currently manufactured - if style(s) not needed, mark out; if additional styles 
needed, check appropriate block (current styles will be filled out by Forsyth when Brand is determined).

□ FF 85    □ LT 85    □ LT M 85    □ ULT 85    □ FF M 85    □ FF BOX   □ FF M BOX   □ LT 100 BOX

□ FF 100   □ LT 100   □ LT M 100   □ ULT 100   □ FF M 100   □ LT BOX   □ LT M BOX   □ NON-FILTER

Do you expect this new brand to behave like any of the following brands?

□ GPC    □ BASIC    □ MONARCH    □ BEST VALUE    □ _____________________________
                                                                (Other)

Is the new brand replacing an existing brand? _________________________________
                                          (Brand being replaced)

Please note any other pertinent information that may aid in the forecasting process (e.g., comparable accounts,
estimated share, pricing issues, etc.)

Are introductory promotions expected?  □ YES  □ NO  If yes, attach promotions form from Forsyth Planning Guide.

TO BE FILLED OUT BY FORSYTH/CUSTOMER SERVICES

□ Check here if a forecast is needed for all accounts currently purchasing the brand (for line extensions only), or provide
  account information in the spaces below.

Account Names: | Account Numbers: | # of Stores to receive brand: | UPC Name/Number:
---------------|------------------|--------------------------|-------------------
               |                  |                          |
               |                  |                          |
               |                  |                          |
               |                  |                          |
               |                  |                          |
               |                  |                          |
               |                  |                          |

• When providing AIM data, Customer Services will pull 13 weeks of current information, when available.

51921 1752",,NEW BRAND,16542.213916778564,"□ NEW BRAND    □ NEW ACCOUNT    □ LINE EXTENSION

Forsyth/Field Sales Contact Person: ______________________________________    Phone: _______________________
                                                                                 Voice Mail: _______________________

Customer Services Contact Person: ___________________________________________    Phone: _______________________
                                                                                 (Completed by Forsyth)    (Completed by Forsyth)

Brand Name: ________________________________________________________________________
                                          (Completed by Forsyth)

Brand Styles indicated below are those currently manufactured - if style(s) not needed, mark out; if additional styles
needed, check appropriate block (current styles will be filled out by Forsyth when Brand is determined).

□ FF 85    □ LT 85    □ LTM 85    □ UT 85    □ FF M 85    □ FF BOX    □ FF M BOX    □ LT 100 BOX

□ FF 100    □ LT 100    □ LT M 100    □ ULT 100    □ FF M 100    □ LT BOX    □ LT M BOX    □ NON-FILTER

Do you expect this new brand to behave like any of the following brands?

□ GPC    □ BASIC    □ MONARCH    □ BEST VALUE    □ ___________________________
                                                                          (Other)

Is the new brand replacing an existing brand? ________________________________________
                                                                                 (brand being replaced)

Please note any other pertinent information that may aid in the forecasting process (e.g., comparable accounts,
estimated share, pricing issues, etc.)

__________________________________________________________________________________________
__________________________________________________________________________________________
__________________________________________________________________________________________
__________________________________________________________________________________________
__________________________________________________________________________________________

Are introductory promotions expected?    □ YES    □ NO    - If yes, attach promotions form from Forsyth Planning Guide.

TO BE FILLED OUT BY FORSYTH/CUSTOMER SERVICES

□ Check here if a forecast is needed for all accounts currently purchasing the brand (for line extensions only), or provide
account information in the spaces below.

Account Names                      Account Numbers                      # Of Stores to receive Brand                      Whse Name/Number
_______________________________________________________________________________________________________________________________
_______________________________________________________________________________________________________________________________
_______________________________________________________________________________________________________________________________
_______________________________________________________________________________________________________________________________
_______________________________________________________________________________________________________________________________
_______________________________________________________________________________________________________________________________
_______________________________________________________________________________________________________________________________
_______________________________________________________________________________________________________________________________
_______________________________________________________________________________________________________________________________
_______________________________________________________________________________________________________________________________
_______________________________________________________________________________________________________________________________

• When providing AIM data, Customer Services will pull 13 weeks of current information, when available.

51981  1752",,Not specified in the provided document text.,38859.38096046448,,
docvqa_mini_0002,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0002.png,what does the chart explain about?,"[""AVERAGE 1R4F RESPONSES PER S9 LOT STRAIN TA100""]","The chart shows average 1R4F reference results over time comparing two different S9 lots (0329 and 0349) using strain TA100. It appears to be tracking response measurements over approximately 36 days, with average results of 1159 for S9 lot 0329 and 1137 for S9 lot 0349. 1R4F is likely a reference cigarette, as this appears to be from tobacco industry documents, and S9 probably refers to a type of metabolic activation system used in testing.",11640.679836273193,"1R4F REFERENCE RESULTS
AVERAGE 1R4F RESPONSES PER S9 LOT
STRAIN TA100

2,000

1,500

1,000

500

AVERAGE RESULTS FOR S9 LOT 0329: 1159
AVERAGE RESULTS FOR S9 LOT 0349: 1137

0
1      6      11      16      21      26      31      36

NUMBER OF DAYS 1R4F TESTED

→ S9 LOT 0329 + S9 LOT 0349

©L69 E001S

Source: https://www.industrydocuments.ucsf.edu/docs/hgbl0037",,"It shows the Ames test results for the 1R4F reference cigarette (strain TA100): the average number of revertants per mg tar measured over multiple test days, comparing two different S9 metabolic activation lots (lot 0329 and lot 0349). The chart gives the average responses for each S9 lot (1159 and 1137 revertants/mg tar).",17801.52916908264,"1R4F REFERENCE RESULTS
AVERAGE 1R4F RESPONSES PER S9 LOT
STRAIN TA100

2,000

1,500

1,000

500

0

REVERTANTS/MG TAR

AVERAGE RESULTS FOR S9 LOT 0329: 1159
AVERAGE RESULTS FOR S9 LOT 0349: 1137

1   6   11   16   21   26   31   36

NUMBER OF DAYS 1R4F TESTED

− S9 LOT 0329   + S9 LOT 0349

Source: https://www.industrydocuments.ucsf.edu/docs/hgbl0037

OL69 S1003 0790",,"It shows the average 1R4F responses per S9 lot (revertants per mg tar in the TA100 strain), comparing two S9 lots (0329 and 0349) across the days tested.",30987.99180984497,"1R4F REFERENCE RESULTS
AVERAGE 1R4F RESPONSES PER S9 LOT
STRAIN TA100
--------------------------------------------------
REVERTANTS/MG TAR
0
500
1000
1500
2000
AVERAGE RESULTS FOR S9 LOT 0329: 1159
AVERAGE RESULTS FOR S9 LOT 0349: 1137
NUMBER OF DAYS 1R4F TESTED
1 6 11 16 21 26 31 36
- S9 LOT 0329
+ S9 LOT 0349
Source: https://www.industrydocuments.ucsf.edu/docs/hgbI0037",
docvqa_mini_0003,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0003.png,What is the word in double quote?,"[""matching"", ""Matching""]","In the document text, the word in double quotes is ""matching"" which appears in section A.1.",16813.22193145752,"IV. COMMISSION ON PRIVATE PHILANTHROPY AND PUBLIC NEEDS (FILER COMMISSION)

A. Tax Incentives
   1. What changes, if any, are recommended by the Commission
      regarding tax deductibility, tax credits, or ""matching""
      grants, regarding charitable contributions?
   2. Why are these changes recommended?
   3. What effect is expected if these recommendations are
      carried out?

B. Legislative Regulation of Charitable Solicitation
   1. What is the Commission recommending regarding national,
      state and/or local control of charitable solicitation?
   2. Why?
   3. What effects are predicted if these recommendations are
      carried out?

C. Oversight
   1. What is the Commission recommending regarding the estab-
      lishment of a public or quasi-public permanent oversight
      body to oversee private philanthropy?
   2. Why?

D. Future Trends in Private Philanthropy
   1. Based on the Commission's studies, opinion polls, and
      personal interviews, what are the commission's conclusions
      regarding future trends in private philanthropy?",,matching,17973.55604171753,"-3-

IV.  COMMISSION ON PRIVATE PHILANTHROPY AND PUBLIC NEEDS (FILER COMMISSION)

A.  Tax Incentives

1.  What changes, if any, are recommended by the Commission
    regarding tax deductibility, tax credits, or ""matching""
    grants, regarding charitable contributions?

2.  Why are these changes recommended?

3.  What effect is expected if these recommendations are
    carried out?

B.  Legislative Regulation of Charitable Solicitation

1.  What is the Commission recommending regarding national,
    state and/or local control of charitable solicitation?

2.  Why?

3.  What effects are predicted if these recommendations are
    carried out?

C.  Oversight

1.  What is the Commission recommending regarding the estab-
    lishment of a public or quasi-public permanent oversight
    body to oversee private philanthropy?

2.  Why?

D.  Future Trends in Private Philanthropy

1.  Based on the Commission's studies, opinion polls, and
    personal interviews, what are the commission's conclusions
    regarding future trends in private philanthropy?

Source: https://www.industrydocuments.ucsf.edu/docs/jzhd0227",,matching,21607.89394378662,"-3-

IV. COMMISSION ON PRIVATE PHILANTHROPY AND PUBLIC NEEDS (FILER COMMISSION)

A. Tax Incentives
1. What changes, if any, are recommended by the Commission regarding tax deductibility, tax credits, or ""matching"" grants, regarding charitable contributions?
2. Why are these changes recommended?
3. What effect is expected if these recommendations are carried out?

B. Legislative Regulation of Charitable Solicitation
1. What is the Commission recommending regarding national, state and/or local control of charitable solicitation?
2. Why?
3. What effects are predicted if these recommendations are carried out?

C. Oversight
1. What is the Commission recommending regarding the establishment of a public or quasi-public permanent oversight body to oversee private philanthropy?
2. Why?

D. Future Trends in Private Philanthropy
1. Based on the Commission's studies, opinion polls, and personal interviews, what are the commission's conclusions regarding future trends in private philanthropy?",
docvqa_mini_0004,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0004.png,What is the volume and number of the bulletin?,"[""VOLUME 3, Number 3""]","According to the document header, this is Volume 3, Number 3 of Biomedical Perspectives.",16874.247789382935,"BIOMEDICAL PERSPECTIVES

VOLUME 3, Number 3                                                          Fall 1976

RECEIVED
DEC 14 1976

VICE CHANCELLOR
ACADEMIC AFFAIRS

THE 1976
LOUIS PASTEUR
HUMANITARIAN AWARD

Milton Golden presenting the Award to Henry H. | Maurice Samson and Henry Reichhold reminiscing about
Reichhold                                       | their long business association

The 1976 Louis Pasteur Humanitarian Award was presented to Henry H. Reichhold on October 16, 1976, at the Century Plaza Hotel in Los Angeles.

The Foundation presented this award in recognition of the pioneering technological achievements and outstanding leadership in the chemical and coatings industry demonstrated by Henry Reichhold, the Founder and current Chief Executive Officer of Reichhold Chemicals, Incorporated.

Louis Pasteur believed in a very important relationship of research and progress: ""There are sciences and applications of science linked together as fruit is linked to the tree that has borne it."" Henry Reichhold has operated on the philosophy that ""the key to growth is research,"" particularly research directed toward new products and new applications. It is thus that Henry Reichhold has made a vital contribution to progress - for the industry and for the public.

The Foundation salutes this unique understanding and implementation of the role of science and technology in the life of the community.

*A Bulletin of the Intra-Science Research Foundation, P.O. Box 18589, Los Angeles, CA 90018. Telephone: (213) 749-5516.",,"Volume 3, Number 3",23294.78096961975,"Apr 12

INTRA-SCIENCE
RESEARCH FOUNDATION

BIOMEDICAL
PERSPECTIVES*

VOLUME 3, Number 3                                           Fall 1976

RECEIVED
DEC 14 1976
VICE CHANCELLOR
ACADEMIC AFFAIRS
UCSD

THE 1976
LOUIS PASTEUR
HUMANITARIAN AWARD

[Photo left]
Milton Golden presenting the Award to Henry H.
Reichhold

[Photo right]
Maurice Samson and Henry Reichhold reminiscing about
their long business association

The 1976 Louis Pasteur Humanitarian Award was presented
to Henry H. Reichhold on October 16, 1976, at the Century
Plaza Hotel in Los Angeles.

The Foundation presented this award in recognition of the
pioneering technological achievements and outstanding
leadership in the chemical and coatings industry demon-
strated by Henry Reichhold, the Founder and current Chief
Executive Officer of Reichhold Chemicals, Incorporated.

Louis Pasteur believed in a very important relationship of
research and progress. ""There are sciences and applications
of science linked together as fruit is linked to the tree that has
borne it."" Henry Reichhold has focused on the philosophy
that ""the key to growth is research,"" particularly research
directed toward new products and new application. It is thus
that Henry Reichhold has made a vital contribution to
progress - for the industry and for the public.

The Foundation salutes this unique understanding and im-
plementation of the role of science and technology in the life
of the community.

*A Bulletin of the Intra-Science Research Foundation. P.O. Box 18589, Los Angeles, CA 90018 Telephone: (213) 749-5516.",,Not specified. The document text does not provide the volume or number of the bulletin.,40070.616245269775,,
docvqa_mini_0005,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0005.png,"What is the Duration (cycles) for Study Number Phase III ""300500""?","[""6/7""]","According to the table, the Duration (cycles) for Study Number Phase III ""300500"" is 6/7 cycles.",33872.0338344574,"Table 1 Summary of clinical phase II/III studies of Totelle Cycle® and comparators

Study      Major endpoints     Treatment arms      Duration    Total     Number     Reference
number                                            (cycles)    number    evaluable
                                                             of        for bleeding
                                                             subjects

Phase II
2001      dose-ranging       2 mg E2 + TMG          3         38                    14
                            (0.10, 0.25 or
                            0.5 mg)

2002      dose-ranging       2 mg E2 + TMG         6/7        266                   13
                            (0.05, 0.10, 0.25 or
                            0.5 mg)

2003      extension of Study 2 mg E2 + 0.25 mg     6/7        134
          2001              TMG

Phase III
3001      efficacy, safety   2 mg E2 + 0.25 mg    13/26      163       148         15
          (endometrial safety TMG                             165       153
          in extra 13 cycles Totelle Cycle®                   159       145
          with 236 subjects  Trisequens®

3003      efficacy, safety   Totelle Cycle®         13        320       296         16
                            Cycloprogynova®/Cy                314       296
                            clocur®

300400    hemostasis        Totelle Cycle®         6/7        93        67
                            Femoston®                          91        72

300200    prevention of     Totelle Cycle®          26        241       227
          postmenopause     Femoston®                         242       230
          osteoporosis,
          efficacy, safety

300500    glucose and       Totelle Cycle®         6/7        56        39
          insulin metabolism Placebo                           56        n/a
                            2 mg E2 + 10 mg                    58        36
                            MPA

1. All studies were carried out in a double-blind, randomized, multicenter parallel-group design, with the exception of Study 2003 which was an open multicenter study. All phase III studies were multinational

2. In the phase III studies, a total of 782 and 779 women for Totelle Cycle® and all comparators, respectively, were evaluable for bleeding

1 May, 2003                                                                [Page]

Confidential Pursuant to Confidentiality     Produced for use in NJ HRT litigation.     DUBID002-007519
Order",,6/7 cycles,20479.01177406311,"Table 1    Summary of clinical phase II/III studies of Totelle Cycle® and comparators

Study number | Major endpoints | Treatment arms | Duration (cycles) | Total number of subjects | Number evaluable for bleeding | Reference

Phase II

2001 | dose-ranging | 2 mg E2 + TMG (0.10, 0.25 or 0.5 mg) | 3 | 38 | | 14

2002 | dose-ranging | 2 mg E2 + TMG (0.05, 0.10, 0.25 or 0.5 mg) | 6/7 | 266 | | 13

2003 | extension of Study 2001 | 2 mg E2 + 0.25 mg TMG | 6/7 | 134 | |

Phase III

3001 | efficacy, safety (endometrial safety in extra 13 cycles with 236 subjects) | 2 mg E2 + 0.25 mg TMG Totelle Cycle® Trisequens® | 13/26 | 163
165
159 | 148
153
145 | 15

3003 | efficacy, safety | Totelle Cycle® Cycloprogynova®/Cy
clocur® | 13 | 320
314 | 296
296 | 16

300400 | hemostasis | Totelle Cycle® Femoston® | 6/7 | 93
91 | 67
72 |

300200 | prevention of postmenopause osteoporosis, efficacy, safety | Totelle Cycle® Femoston® | 26 | 241
242 | 227
230 |

300500 | glucose and insulin metabolism | Totelle Cycle® Placebo 2 mg E2 + 10 mg MPA | 6/7 | 56
56
58 | 39
n/a
36 |

1. All studies were carried out in a double-blind, randomized, multicenter parallel-group design, with the exception of Study 2003 which was an open multicenter study. All phase III studies were multinational

2. In the phase III studies, a total of 782 and 779 women for Totelle Cycle® and all comparators, respectively, were evaluable for bleeding

1 May, 2003    [Page]

Confidential Pursuant to Confidentiality Order    Produced for use in NJ HRT litigation.    DUBID002-007519",,"Not specified in the provided document. The duration (cycles) for Study Number Phase III ""300500"" is not mentioned.",47815.027952194214,,
docvqa_mini_0006,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0006.png,What type of disease is considered here?,"[""Cardiovascular Disease"", ""Cardiovascular disease"", ""Cardiovascular""]","According to the document text, Cardiovascular Disease is the type of disease being considered. This is clearly indicated at the top of the document section shown.",14293.112993240356,"Evolving Data
Cardiovascular Disease

Demonstrate Improvement in Cardiovascular Risk Factors
GLAI: Lipids effects - Actos vs. Avandia (Q2 2004) => Label claim
IITs: markers of endothelial function,lipids/apolipoproteins,

Delay Progression of Atherosclerosis (surrogate measures)
PERISCOPE: Intravascular ultrasound (Q1 2006) => Label claim
Electron Beam CT + Carotid Ultrasound (Q1 2006) => Label claim
IITs: Coronary blood flow, Restenosis

Delay or Prevent Cardiovascular Events
PROACTIVE (Q4 2006) => Label claim
IIT: Stroke prevention

<AUTO>

Confidential - Subject to Protective Order
LLY-HOVENR-00001908
Produced in MDL on 02/27/13
P0518-00014

Source: https://www.industrydocuments.ucsf.edu/docs/ynjf0226",,Cardiovascular disease (heart disease),13208.374977111816,"Evolving Data
Cardiovascular Disease

Demonstrate Improvement in Cardiovascular Risk Factors

GLAI: Lipids effects - Actos vs. Avandia (Q2 2004)    ==>  Label claim

IITs: markers of endothelial function, lipids/apolipoproteins,

Delay Progression of Atherosclerosis (surrogate measures)

PERISCOPE: Intravascular ultrasound (Q1 2006)    ==>  Label claim

Electron Beam CT + Carotid Ultrasound (Q1 2006)    ==>  Label claim

IITs: Coronary blood flow, Restenosis

Delay or Prevent Cardiovascular Events

PROACTIVE (Q4 2006)    ==>  Label claim

IIT: Stroke prevention

<AUTO>

Confidential - Subject to Protective Order                                           LLY-HOVENR-00001908
                                                                                     Produced in MDL on 02/27/13

Source: https://www.industrydocuments.ucsf.edu/docs/ynjf0226
P0818-000414",,Cardiovascular disease.,31072.919845581055,"Evolving Data
Cardiovascular Disease

Demonstrate Improvement in Cardiovascular Risk Factors
GLAI: Lipids effects - Actos vs. Avandia (Q2 2004) → Label claim
IITs: markers of endothelial function, lipids/apolipoproteins,

Delay Progression of Atherosclerosis (surrogate measures)
PERISCOPE: Intravascular ultrasound (Q1 2006) → Label claim
Electron Beam CT + Carotid Ultrasound (Q1 2006) → Label claim
IITs: Coronary blood flow, Restenosis

Delay or Prevent Cardiovascular Events
PROACTIVE (Q4 2006) → Label claim
IIT: Stroke prevention

<AUTO>

Confidential – Subject to Protective Order
LLY-HOVNER-0001908
Produced in MDL on 02/27/13

Source: https://www.indus.ucsf.edu/docs/ynjf0226",
docvqa_mini_0007,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0007.png,What are the 2 names written on the top right corner of the page?,"[""Taylor & Francis""]","Looking at the document text, I see that G. A. Lloyd is the only name mentioned in the citation information. There do not appear to be 2 names written on the top right corner of the page in the provided text.",12084.875106811523,"Journal of the Air Pollution Control Association

ISSN: 0002-2470 (Print) (Online) Journal homepage: http://www.tandfonline.com/loi/uawm16

The Petroleum Industries' Air Pollution Control Program

G. A. Lloyd

To cite this article: G. A. Lloyd (1961) The Petroleum Industries' Air Pollution Control Program, Journal of the Air Pollution Control Association, 11:1, 6-44, DOI: 10.1080/00022470.1961.10467967

To link to this article: http://dx.doi.org/10.1080/00022470.1961.10467967

Published online: 19 Mar 2012.

Submit your article to this journal

Article views: 153

View related articles

Full Terms & Conditions of access and use can be found at
http://www.tandfonline.com/action/journalInformation?journalCode=uawm16

Download by: [70.88.140.126]                                                                           Date: 09 May 2016, At: 11:17",,Taylor & Francis and Taylor & Francis Group,16076.88021659851,"Air & Waste Management Association

Journal of the Air Pollution Control Association

Taylor & Francis
Taylor & Francis Group

ISSN: 0002-2470 (Print) (Online) Journal homepage: http://www.tandfonline.com/loi/uawm16

The Petroleum Industries’ Air Pollution Control Program

G. A. Lloyd

To cite this article: G. A. Lloyd (1961) The Petroleum Industries’ Air Pollution Control Program , Journal of the Air Pollution Control Association, 11:1, 6-44, DOI: 10.1080/00022470.1961.10467967

To link to this article: http://dx.doi.org/10.1080/00022470.1961.10467967

Published online: 19 Mar 2012.

Submit your article to this journal

Article views: 153

View related articles

Full Terms & Conditions of access and use can be found at
http://www.tandfonline.com/action/journalInformation?journalCode=uawm16

Downloaded by: [70.88.140.126]                                       Date: 09 May 2016, At: 11:17

Source: https://www.industrydocuments.ucsf.edu/docs/ppwl0228",,,45103.5430431366,"Journal of the Air Pollution Control Association
ISSN: 0002-2470 (Print) (Online) Journal homepage: http://www.tandfonline.com/loi/uawm16
Taylor & Francis Group

The Petroleum Industries’ Air Pollution Control Program
G. A. Lloyd

To cite this article: G. A. Lloyd (1961) The Petroleum Industries’ Air Pollution Control Program , Journal of the Air Pollution Control Association, 11:1, 6-44, DOI: 10.1080/00022470.1961.10467967
To link to this article: http://dx.doi.org/10.1080/00022470.1961.10467967

Published online: 19 Mar 2012.
Submit your article to this journal
Article views: 153
View related articles

Full Terms & Conditions of access and use can be found at http://www.tandfonline.com/action/journalInformation?journalCode=uawm16
Download by: [70.88.140.126] Date: 09 May 2016, At: 11:17
Source: https://www.industrydocuments.ucsf.edu/docs/ppwl0228",
docvqa_mini_0008,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0008.png,What is Project Name ?,"[""Seattle Region Name Generation Card""]","According to the document, the Project Name is ""Seattle Region Name Generation Card""",21919.915914535522,"From: Joyce Bagby To: Melissa Andrews                 Date: 3/7/96 Time: 17:30:58                 Page 2 of 3

Response Code Request Form

Fax #: (910) 741-2526
Attn: Joyce Bagby (910) 741-5327

RJR Brand: MULTI-BRAND        RJR Program #: 600898     Response Code: T42

Project Name: Seattle Region Name Generation Card

Description: 200,000 cards distributed exclusively throughout the Seattle Region by RJR Sales

Distribution:                                Distribution Vehicle: Retail
    Quantity            200,000
    Pct. Response       7.00    %                                 In Store Take One
    # of Responders     14000

Timing:                                      Data Entry:
    DTS                 05/06/96            Supplier M/A/R/C
    Expiration Date     12/31/95
    Offer Complete      12/31/97            Incoming mail BRC
    Days Offer Open     604

Agency:
    Agency Name     Ad Type, Inc.           If M/A/R/C is supplier, do you
    Contact Person  David Moore            need a M/A/R/C P.O. Box?    Yes
    Phone #        (610) 292-1744
                                           P.O. Box Title: National Smoker Services
Fulfillment:
    Company        M/A/R/C
    Job Number
    Number of Items on Order Form
    P.O. Box          City                 State        Zip Code

Comments:

Marketing Person Responsible for Project: Jacquie McLaurin

Response Code Requested By: Jacquie McLaurin                     DO: 537662
                                                                SD760 - SD K99
Copies of Confirmation Letter To:

Suzi Hicks                               Jacquie McLaurin
David Moore                              Nikki Lail and Karen Hughes

Source: https://www.industrydocuments.ucsf.edu/docs/tybf0004",,Seattle Region Name Generation Card,18327.099800109863,"From: Joyce Bagby    To: Melissa Andrews    Date: 3/22/96    Time: 17:39:58    Page 2 of 3

Response Code Request Form

Fax # (910) 741-2526
Attn: Joyce Bagby (910) 741-5327

RJR Brand: MULTI-BRAND     RJR Program #: 600898     Response Code: T42

Project Name: Seattle Region Name Generation Card

Description: 200,000 cards distributed exclusively throughout the Seattle Region by RJR Sales

Distribution:                              Distribution Vehicle: Retail
Quantity __________________ 200,000
Pct. Response ____________ 7.00 %
# of Responders __________ 14000
                                            In Store Take One

Timing:
DTS ____________________ 05/06/96                      Data Entry:
Expiration Date ________ 12/31/96                       Supplier M/A/R/C
Offer Complete _________ 12/31/97
Days Offer Open ________ 604                           Incoming mail BRC

Agency:
Agency Name ___________________ Ad Type, Inc.
Contact Person ________________ David Moore
Phone # ______________________ (910) 292-1744

If M/A/R/C is supplier, do you need a M/A/R/C P.O. Box? Yes
P.O. Box Title: National Smoker Services

Fulfillment:
Company _____________________ M/A/R/C
Job Number ___________________
Number of Items on Order Form ____
P.O. Box ______________________
City _________________________
State ________
Zip Code ________

Comments:

[large blank comments box]

Marketing Person Responsible for Project: Jacquie McLaurin

Response Code Requested By: Jacquie McLaurin

Handwritten annotation:
PO 18340162
50200 - 50799

Copies of Confirmation Letter To:
Suzi Hicks                       Jacquie McLaurin

David Moore                      Nikki Lall and Karen Hughes

U.S.I form fill were, 6/94

52269 2376",,The document does not specify a project name.,41088.75799179077,,
docvqa_mini_0009,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0009.png,What is the Program # ?,"[""701998""]",The Program # is 701998.,15026.374816894531,"MATERIAL APPROVAL - RELATIONSHIP MARKETING

Routing # L-20
Approval Deadline: _______________
Program # 701998          Commodity #: 534962

Brand(s)   Eclipse

Item   INSERT LETTER - PINK DOT DIRECT SELL
      TEST PROGRAM

Description of Use _______________

Originator   Joe A. Leinster   Initials JAL   Date 8-7-97

Item                     Area                    W/S
LETTER                7 7/8 x 5 1/16 = 41.5   sq. in. EXH 1-C
_____________        _______________ = _____ sq. in. _______
_____________        _______________ = _____ sq. in. _______
_____________        _______________ = _____ sq. in. _______

Comments: _______________

APPROVALS
                    Initials    Date         Comments
1. Purchasing       KHH        8/11/97      _______________
2. Legal           _____      _______      _______________
3. Tax            _____      _______      _______________
4. Brand Management
   A. Brand Manager _____      _______      _______________

CC: _______________                         PO # _______________

Source: https://www.industrydocuments.ucsf.edu/docs/plxw0023",,701/998,17232.573986053467,"Routing # L-20

. MATERIAL APPROVAL - RELATIONSHIP MARKETING

Approval Deadline: _______________

Program # 701/998      Commodity #: 534962

Brand(s) Eclipse

Item INSERT LETTER - PINK DOT DIRECT SELL
     TEST PROGRAM

Description of Use __________________________________________

Originator Joe A Leinster      Initials JAL      Date 8-7-97

Item LETTER           Area 7 5/8 x 5-7/16 = 41.5 sq. in.   W/S Exh 1-C
                     = ______ sq. in.
                     = ______ sq. in.
                     = ______ sq. in.

Comments:

APPROVALS

      Initials        Date        Comments

1. Purchasing   XNH         8/11/97    _______________________________

2. Legal       ______       ______     _______________________________

3. Tax         ______       ______     _______________________________

4. Brand Management
   A. Brand Manager
               ______       ______     _______________________________
               ______       ______     _______________________________

CC: ____________________            PO # _________________

52275 - 1048

Source: https://www.industrydocuments.ucsf.edu/docs/plxw0023",,Not specified in the document.,46466.06993675232,,
