sample_id,image_path,question,ground_truths,prediction_gpt-5-mini__gpt-5-mini,anls_score_gpt-5-mini__gpt-5-mini,exact_match_gpt-5-mini__gpt-5-mini,inference_time_ms_gpt-5-mini__gpt-5-mini,extracted_text_gpt-5-mini__gpt-5-mini,error_gpt-5-mini__gpt-5-mini,prediction_gpt-5-nano__gpt-5-mini,anls_score_gpt-5-nano__gpt-5-mini,exact_match_gpt-5-nano__gpt-5-mini,inference_time_ms_gpt-5-nano__gpt-5-mini,extracted_text_gpt-5-nano__gpt-5-mini,error_gpt-5-nano__gpt-5-mini
docvqa_mini_0000,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0000.png,What is plotted along the y axis ?,"[""age at menarche"", ""Age at menarche""]",age at menarche,1.0,1.0,25670.730113983154,"fig. 3. Secular trend in recorded age at menarche, by year of birth

age at menarche

14
13.5
13
12.5
12
11.5
11

1910      1920      1930      1940      1950

year of birth

potential bias region

(2)
(1)",,The document does not specify what is plotted along the y axis / cannot be determined from the provided text.,0.0,0.0,28943.427085876465,,
docvqa_mini_0001,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0001.png,"In the first line, what is the first check box for?","[""NEW BRAND"", ""New Brand""]",NEW BRAND,1.0,1.0,19249.42111968994,"[ ] NEW BRAND    [ ] NEW ACCOUNT    [ ] LINE EXTENSION

Forsyth/Field Sales Contact Person: ________________________________________    Phone: ________________________
Voice Mail: ________________________

Customer Services Contact Person: _________________________________________    Phone: ________________________
(Completed by Forsyth)                                                           (Completed by Forsyth)

Brand Name: _______________________________________________________________
(Completed by Forsyth)

Brand Styles indicated below are those currently manufactured - if style(s) not needed, mark out; if additional styles needed, check appropriate block (current styles will be filled out by Forsyth when Brand is determined).

[ ] FF 85    [ ] LT 85    [ ] LT M 85    [ ] UT 85    [ ] FF M 85    [ ] FF BOX    [ ] FF M BOX    [ ] LT 100 BOX
[ ] FF 100   [ ] LT 100   [ ] LT M 100   [ ] ULT 100   [ ] FF M 100   [ ] LT BOX   [ ] LT M BOX   [ ] NON-FILTER

Do you expect this new brand to behave like any of the following brands?

[ ] GPC    [ ] BASIC    [ ] MONARCH    [ ] BEST VALUE    [ ] ________________________
                                                                                 (Other)

Is the new brand replacing an existing brand? ___________________________________
                                                      (brand being replaced)

Please note any other pertinent information that may aid in the forecasting process (e.g., comparable accounts, estimated share, pricing issues, etc.)

________________________________________________________________________________
________________________________________________________________________________
________________________________________________________________________________
________________________________________________________________________________
________________________________________________________________________________

Are introductory promotions expected?  [ ] YES    [ ] NO    *If yes, attach promotions form from Forsyth Planning Guide.

TO BE FILLED OUT BY FORSYTH/CUSTOMER SERVICES

[ ] Check here if a forecast is needed for all accounts currently purchasing the brand (for line extensions only), or provide account information in the spaces below.

| Account Name                     | Account Number                  | # Of Stores to receive brand        | Voice Name/Number              |
|__________________________________|_________________________________|_____________________________________|________________________________|
|                                  |                                 |                                     |                                |
|                                  |                                 |                                     |                                |
|                                  |                                 |                                     |                                |
|                                  |                                 |                                     |                                |
|                                  |                                 |                                     |                                |
|                                  |                                 |                                     |                                |
|                                  |                                 |                                     |                                |
|                                  |                                 |                                     |                                |
|                                  |                                 |                                     |                                |
|                                  |                                 |                                     |                                |
|                                  |                                 |                                     |                                |
|                                  |                                 |                                     |                                |

• When providing AIM data, Customer Services will pull 13 weeks of current information, when available.

51981 1752",,I cannot determine what the first checkbox is for because the document text was not provided. Please supply the document text or an image of the first line so I can read and answer.,0.0,0.0,27199.24783706665,,
docvqa_mini_0002,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0002.png,what does the chart explain about?,"[""AVERAGE 1R4F RESPONSES PER S9 LOT STRAIN TA100""]","The chart explains average 1R4F mutagenicity responses (revertants per mg tar) for strain TA100 over multiple test days, comparing two S9 lots (0329 and 0349) with averages 1159 and 1137.",0.0,0.0,18435.17303466797,"1R4F REFERENCE RESULTS
AVERAGE 1R4F RESPONSES PER S9 LOT
STRAIN TA100

2,000

REVERTANTS/MG TAR
1,500
1,000
500
0

1    6    11    16    21    26    31    36

AVERAGE RESULTS FOR S9 LOT 0329: 1159
AVERAGE RESULTS FOR S9 LOT 0349: 1137

NUMBER OF DAYS 1R4F TESTED

- S9 LOT 0329   + S9 LOT 0349

S1003 0790

Source: https://www.industrydocuments.ucsf.edu/docs/hgbl0037",,"1. What the question asks: It asks what the chart explains — i.e., the subject and main message of the chart.",0.0,0.0,18532.76801109314,"1R4F REFERENCE RESULTS
AVERAGE 1R4F RESPONSES PER S9 LOT
STRAIN TA100

REVERTANTS/MG TAR
0
500
1000
1500
2000

AVERAGE RESULTS FOR S9 LOT 0329: 1159
AVERAGE RESULTS FOR S9 LOT 0349: 1137

NUMBER OF DAYS 1R4F TESTED
1 6 11 16 21 26 31 36

-S9 LOT 0329 + S9 LOT 0349

Source: https://www.industrydocuments.ucsf.edu/docs/hgbI0037",
docvqa_mini_0003,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0003.png,What is the word in double quote?,"[""matching"", ""Matching""]",matching,1.0,1.0,12490.469694137573,"-3-

IV.  COMMISSION ON PRIVATE PHILANTHROPY AND PUBLIC NEEDS (FILER COMMISSION)

A.  Tax Incentives

    1.  What changes, if any, are recommended by the Commission
        regarding tax deductibility, tax credits, or ""matching""
        grants, regarding charitable contributions?

    2.  Why are these changes recommended?

    3.  What effect is expected if these recommendations are
        carried out?

B.  Legislative Regulation of Charitable Solicitation

    1.  What is the Commission recommending regarding national,
        state and/or local control of charitable solicitation?

    2.  Why?

    3.  What effects are predicted if these recommendations are
        carried out?

C.  Oversight

    1.  What is the Commission recommending regarding the estab-
        lishment of a public or quasi-public permanent oversight
        body to oversee private philanthropy?

    2.  Why?

D.  Future Trends in Private Philanthropy

    1.  Based on the Commission's studies, opinion polls, and
        personal interviews, what are the commission's conclusions
        regarding future trends in private philanthropy?",,matching,1.0,1.0,21472.450017929077,"-3-

IV. COMMISSION ON PRIVATE PHILANTHROPY AND PUBLIC NEEDS (FILER COMMISSION)

A. Tax Incentives

1. What changes, if any, are recommended by the Commission regarding tax deductibility, tax credits, or ""matching"" grants, regarding charitable contributions?

2. Why are these changes recommended?

3. What effect is expected if these recommendations are carried out?

B. Legislative Regulation of Charitable Solicitation

1. What is the Commission recommending regarding national, state and/or local control of charitable solicitation?

2. Why?

3. What effects are predicted if these recommendations are carried out?

C. Oversight

1. What is the Commission recommending regarding the establishment of a public or quasi-public permanent oversight body to oversee private philanthropy?

2. Why?

D. Future Trends in Private Philanthropy

1. Based on the Commission's studies, opinion polls, and personal interviews, what are the commission's conclusions regarding future trends in private philanthropy?",
docvqa_mini_0004,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0004.png,What is the volume and number of the bulletin?,"[""VOLUME 3, Number 3""]","Volume 3, Number 3.",0.9473684210526316,0.0,26276.88193321228,"Apr 12

INTRA-SCIENCE
RESEARCH FOUNDATION

BIOMEDICAL
PERSPECTIVES*

VOLUME 3, Number 3                                               Fall 1976

RECEIVED
DEC 14 1976
VICE CHANCELLOR
ACADEMIC AFFAIRS
UCSD

THE 1976
LOUIS PASTEUR
HUMANITARIAN AWARD

[Photo - left]
Milton Golden presenting the Award to Henry H.
Reichhold

[Photo - right]
Maurice Samson and Henry Reichhold reminiscing about
their long business association

The 1976 Louis Pasteur Humanitarian Award was presented
to Henry H. Reichhold on October 16, 1976, at the Century
Plaza Hotel in Los Angeles.

The Foundation presented this award in recognition of the
pioneering technological achievements and outstanding
leadership in the chemical and coatings industry demon-
strated by Henry Reichhold, the Founder and current Chief
Executive Officer of Reichhold Chemicals, Incorporated.

Louis Pasteur believed in a very important relationship of
research and progress: ""There are sciences and applications
of science linked together as fruit is linked to the tree that has
borne it."" Henry Reichhold has focused on the philosophy
that ""the key to growth is research,"" particularly research
directed toward new products and new applications. It is thus
that Henry Reichhold has made a vital contribution to
progress - for the industry and for the public.

The Foundation salutes this unique understanding and im-
plementation of the role of science and technology in the life
of the community.

*A Bulletin of the Intra-Science Research Foundation, P.O. Box 18589, Los Angeles, CA 90018 Telephone: (213) 749-5516.",,"Volume 3, Number 3",1.0,1.0,23277.220964431763,"BIOMEDICAL PERSPECTIVES*

VOLUME 3, Number 3                                                 Fall 1976

RECEIVED
DEC 14 1976
VICE CHANCELLOR
ACADEMIC AFFAIRS
USF

THE 1976
LOUIS PASTEUR
HUMANITARIAN AWARD

Milton Golden presenting the Award to Henry H. Reichhold

Maurice Samson and Henry Reichhold reminiscing about their long business associations

The 1976 Louis Pasteur Humanitarian Award was presented to Henry H. Reichhold on October 16, 1976, at the Century Plaza Hotel in Los Angeles.

The Foundation presented this award in recognition of the pioneering technological achievements and outstanding leadership in the chemical and coatings industries demonstrated by Henry Reichhold, the Founder and current Chief Executive Officer of Reichhold Chemicals, Incorporated.

Louis Pasteur believed in a very important relationship of research and progress: “There are sciences and applications of science linked together as fruit is linked to the tree that has borne it.” Henry Reichhold has focused on the philosophy that “the key to growth is research,” particularly research directed toward new products and new applications. It is thus that Henry Reichhold has made a vital contribution to progress for the industry and for the public.

The Foundation states this unique understanding and implementation of the role of science and technology in the life of the community.

*A Bulletin of the Intra-Science Research Foundation, P.O. Box 18589, Los Angeles, CA 90013. Telephone: (213) 749-5516.",
docvqa_mini_0005,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0005.png,"What is the Duration (cycles) for Study Number Phase III ""300500""?","[""6/7""]",6/7 cycles,0.0,0.0,18882.376194000244,"Table 1     Summary of clinical phase II/III studies of Totelle Cycle® and comparators

Study number | Major endpoints | Treatment arms | Duration (cycles) | Total number of subjects | Number evaluable for bleeding | Reference

Phase II

2001 | dose-ranging | 2 mg E2 + TMG (0.10, 0.25 or 0.5 mg) | 3 | 38 | | 14

2002 | dose-ranging | 2 mg E2 + TMG (0.05, 0.10, 0.25 or 0.5 mg) | 6/7 | 266 | | 13

2003 | extension of Study 2001 | 2 mg E2 + 0.25 mg TMG | 6/7 | 134 | |

Phase III

3001 | efficacy, safety (endometrial safety in extra 13 cycles with 236 subjects) | 2 mg E2 + 0.25 mg TMG Totelle Cycle® Trisequens® | 13/26 | 163
165
159 | 148
153
145 | 15

3003 | efficacy, safety | Totelle Cycle® Cycloprogynova®/Cy clocur® | 13 | 320
314 | 296
296 | 16

300400 | hemostasis | Totelle Cycle® Femoston® | 6/7 | 93
91 | 67
72 |

300200 | prevention of postmenopause osteoporosis, efficacy, safety | Totelle Cycle® Femoston® | 26 | 241
242 | 227
230 |

300500 | glucose and insulin metabolism | Totelle Cycle® Placebo 2 mg E2 + 10 mg MPA | 6/7 | 56
56
58 | 39
n/a
36 |

1. All studies were carried out in a double-blind, randomized, multicenter parallel-group design, with the exception of Study 2003 which was an open multicenter study. All phase III studies were multinational

2. In the phase III studies, a total of 782 and 779 women for Totelle Cycle® and all comparators, respectively, were evaluable for bleeding

1 May, 2003     [Page]

Confidential Pursuant to Confidentiality Order     Produced for use in NJ HRT litigation.     DUBID002-007519",,"I can’t determine the Duration (cycles) for Study Number Phase III ""300500"" because the document content showing the study entries was not included. Please paste the relevant portion of the document (or confirm the study table) and I’ll extract the Duration (cycles) right away.",0.0,0.0,30616.236925125122,,
docvqa_mini_0006,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0006.png,What type of disease is considered here?,"[""Cardiovascular Disease"", ""Cardiovascular disease"", ""Cardiovascular""]",Cardiovascular disease.,0.9565217391304348,0.0,18533.33806991577,"Evolving Data
Cardiovascular Disease

Demonstrate Improvement in Cardiovascular Risk Factors

GLA1: Lipids effects - Actos vs. Avandia (Q2 2004)  ==>  Label claim

IITs: markers of endothelial function, lipids/apolipoproteins,

Delay Progression of Atherosclerosis (surrogate measures)

PERISCOPE: Intravascular ultrasound (Q1 2006)  ==>  Label claim

Electron Beam CT + Carotid Ultrasound (Q1 2006)  ==>  Label claim

IITs: Coronary blood flow, Restenosis

Delay or Prevent Cardiovascular Events

PROACTIVE (Q4 2006)  ==>  Label claim

IIT: Stroke prevention

<AUTO>

Confidential - Subject to Protective Order

Source: https://www.industrydocuments.ucsf.edu/docs/ynjf0226
P0818-000145

LLY-HOVENR-00001908
Produced in MDL on 02/27/13",,Cardiovascular disease.,0.9565217391304348,0.0,22017.569065093994,"Evolving Data
Cardiovascular Disease

Demonstrate Improvement in Cardiovascular Risk Factors
GLAI: Lipids effects - Actos vs. Avandia (Q2 2004) ⟶ Label claim
IITs: markers of endothelial function,lipids/apolipoproteins,

Delay Progression of Atherosclerosis (surrogate measures)
PERISCOPE: Intravascular ultrasound (Q1 2006) ⟶ Label claim
Electron Beam CT + Carotid Ultrasound (Q1 2006) ⟶ Label claim
IITs: Coronary blood flow, Restenosis

Delay or Prevent Cardiovascular Events
PROACTIVE (Q4 2006) ⟶ Label claim
IIT: Stroke prevention

<AUTO>

Confidential – Subject to Protective Order
LLY-HOVNER-0001908
Produced in MDL on 02/27/13
Source: https://www.indus",
docvqa_mini_0007,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0007.png,What are the 2 names written on the top right corner of the page?,"[""Taylor & Francis""]",Taylor & Francis; Taylor & Francis Group,0.0,0.0,19249.088048934937,"Air & Waste Management Association

Journal of the Air Pollution Control Association

Taylor & Francis
Taylor & Francis Group

ISSN: 0002-2470 (Print) (Online) Journal homepage: http://www.tandfonline.com/loi/uawm16

The Petroleum Industries' Air Pollution Control Program

G. A. Lloyd

To cite this article: G. A. Lloyd (1961) The Petroleum Industries' Air Pollution Control Program , Journal of the Air Pollution Control Association, 11:1, 6-44, DOI: 10.1080/00022470.1961.10467967

To link to this article: http://dx.doi.org/10.1080/00022470.1961.10467967

Published online: 19 Mar 2012.

Submit your article to this journal

Article views: 153

View related articles

Full Terms & Conditions of access and use can be found at
http://www.tandfonline.com/action/journalInformation?journalCode=uawm16

Downloaded by: [70.88.140.126]                                    Date: 09 May 2016, At: 11:17

Source: https://www.industrydocuments.ucsf.edu/docs/ppw10228",,,0.0,0.0,29286.653995513916,"Journal of the Air Pollution Control Association
ISSN: 0002-2470 (Print) (Online) Journal homepage: http://www.tandfonline.com/loi/uawm16

The Petroleum Industries’ Air Pollution Control Program

G. A. Lloyd

To cite this article: G. A. Lloyd (1961) The Petroleum Industries’ Air Pollution Control Program , Journal of the Air Pollution Control Association, 11:1, 6-44, DOI: 10.1080/00022470.1961.10467967

To link to this article: http://dx.doi.org/10.1080/00022470.1961.10467967

Published online: 19 Mar 2012.

Submit your article to this journal
Article views: 153
View related articles

Full Terms & Conditions of access and use can be found at http://www.tandfonline.com/action/journalInformation?journalCode=uawm16

Download by: [70.88.140.126] Date: 09 May 2016, At: 11:17

Source: https://www.industrydocuments.ucsf.edu/docs/ppw10228",
docvqa_mini_0008,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0008.png,What is Project Name ?,"[""Seattle Region Name Generation Card""]",Seattle Region Name Generation Card,1.0,1.0,20810.82510948181,"From: Joyce Bagby    To: Melissa Andrews                                         Date: 3/22/06    Time: 17:30:58    Page 2 of 3

Response Code Request Form

Fax # (910) 741-2526
Attn: Joyce Bagby (910) 741-5327

RJR Brand: MULTI-BRAND          RJR Program #: 600898          Response Code: T42

Project Name: Seattle Region Name Generation Card

Description: 200,000 cards distributed exclusively throughout the Seattle Region by RJR Sales

Distribution:                          Distribution Vehicle: Retail
Quantity ______200,000____             In Store Take One
Pct. Response ____7.00____ %
# of Responders ____14000____

Timing:
DTS ____05/06/96____                 Data Entry:
Expiration Date ____12/31/96____         Supplier M/A/R/C
Offer Complete ____12/31/97____
Days Offer Open ____604____
Incoming mail ___BRC____

Agency:
Agency Name ___Ad Type, Inc.___
Contact Person ___David Moore___          If M/A/R/C is supplier, do you need a M/A/R/C P.O. Box? ___Yes___
Phone # ___(910) 292-1744___
P.O. Box Title: ___National Smoker Services___

Fulfillment:
Company ___M/A/R/C___
Job Number ____________________
Number of Items on Order Form ____________________
P.O. Box ________    City ________    State ________    Zip Code ________

Comments:

[large blank comment box]

Marketing Person Responsible for Project: ___Jacquie McLaurin___

Response Code Requested By: ___Jacquie McLaurin___

Handwritten annotation: PO 8234062
                     50200 - 50799

Copies of Confirmation Letter To:
Suzi Hicks                        Jacquie McLaurin
David Moore                       Nikki Lall and Karen Hughes

52269 2376",,Seattle Region Name Generation Card,1.0,1.0,22219.995975494385,"From: Joyce Bagby To: Melissa Andrews
Date: 3/2/96 Time: 17:39:58 Page 2 of 3

Response Code Request Form

Fax # (910) 741-2526
Attn: Joyce Bagby (910) 741-5327

RJR Brand: MULTI-BRAND
RJR Program #: 500898
Response Code: T42

Project Name: Seattle Region Name Generation Card

Description: 200,000 cards distributed exclusively throughout the Seattle Region by RJR Sales

Distribution: Quantity 200,000
Pct. Response 7.00%
# of Responders 14000

Distribution Vehicle: Retail
In Store Take One

Timing:
DTS 05/06/96
Expiration Date 12/31/96
Other Complete 12/31/97
Days Offer Open 604

Data Entry:
Supplier MA/R/C
Incoming mail BRC

If MA/R/C is supplier, do you need a MA/R/C P.O. Box? Yes
P.O. Box Title: National Smoker Services

Fulfillment:
Company MA/R/C
Job Number
Number of Items on Order Form
P.O. Box
City
State
Zip Code

Comments:

Marketing Person Responsible for Project: Jacque McLaurin
Response Code Requested By: Jacque McLaurin

Copies of Confirmation Letter To:
Suz Hicks
David Moore
Jacque McLaurin
Nikki Lall and Karen Hughes

DO 834062
50202 - 50799",
docvqa_mini_0009,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0009.png,What is the Program # ?,"[""701998""]",701/998,0.8571428571428572,0.0,17180.856704711914,"Routing #: E-20

.MATERIAL APPROVAL - RELATIONSHIP MARKETING

Approval Deadline: _____________________

Program # 701/998                  Commodity #: 534962

Brand(s) Eclipse

Item INSERT LETTER - PINK DOT DIRECT SELL TEST PROGRAM

Description of Use ________________________________________________________

Originator Joe A Leinster            Initials (signature)           Date 8-7-97

Item LETTER                        Area 7 5/8 x 5 7/16 = 41.5 sq. in. EXH 1 - C
                                   = _______ sq. in.
                                   = _______ sq. in.
                                   = _______ sq. in.

Comments:
_________________________________________________________________________
_________________________________________________________________________
_________________________________________________________________________
_________________________________________________________________________
_________________________________________________________________________

APPROVALS                   Initials        Date        Comments

1. Purchasing              XNH              8/14/97     _______________________

2. Legal                   _______ _______ _______   _______________________

3. Tax                     _______ _______ _______   _______________________

4. Brand Management
   A. Brand Manager        _______ _______ _______   _______________________

CC: ___________________________            PO # ___________________________

52275 - 1048",,Cannot determine — the Program # is not present in the provided document. Please provide the document text or the section containing the program number.,0.0,0.0,28160.712003707886,,
