sample_id,image_path,ground_truth,language,dataset,prediction_gpt-5-mini,inference_time_ms_gpt-5-mini,tokens_used_gpt-5-mini,error_gpt-5-mini,prediction_gpt-5-nano,inference_time_ms_gpt-5-nano,tokens_used_gpt-5-nano,error_gpt-5-nano
icdar_tr_img_00008,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00008.jpg,"- ولاية أريانة
- BIENVENUE A L'ARIANA
- WELCOME TO ARIANA","Latin, Arabic",ICDAR_mini,"أريانة
ولاية
بكم
ترحب
BIEVENUE
AL'ARIANA
WELCOME
TO
ARIANA",9429.228067398071,,,"أريانة
ولاية
بكم
ترحب
BIEVENUE
AL'ARIANA
WELCOME
TO
ARIANA",6305.370807647705,,
icdar_tr_img_00019,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00019.jpg,"مختبر
LABORATOIRE
Entreprise Chiheb Electrique
Etude & Câblage
des Armoires Electriques
Tel.: 71 425 760 - Fax: 71 428 793","Symbols, Arabic, Latin",ICDAR_mini,"مخبر
LABORATOIRE
Chel
Electrique
Chiheb
Electrique
Entreprise
Câblage
&
Etude
Electriques
Armoires
des
793
71
428
Fax:
760
425
Tel.:
71
-",9416.053056716919,,,"مخبر
LABORATOIRE
Chel
Electrique
Chiheb
Electrique
Entreprise
Câblage
&
Etude
Electriques
Armoires
des
793
71
428
Fax:
760
425
Tel.:
71
-",11706.560134887695,,
icdar_tr_img_00043,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00043.jpg,- La chèvre,"None, Latin",ICDAR_mini,"La
chére
LL
S",9209.769010543823,,,"La
chére
LL
S",10241.935729980469,,
icdar_tr_img_00065,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00065.jpg,"- 21 242 240

The rest of the Arabic text on the purple sign is not legible due to angle and low contrast, so I cannot reliably transcribe it. If you can provide a higher-resolution or straight-on image, I can extract the full text.","Latin, Arabic",ICDAR_mini,"للتكوين
لإعلامية
في
و
للغات
21
242
240",8905.632019042969,,,"للتكوين
لإعلامية
في
و
للغات
21
242
240",11307.766199111938,,
icdar_tr_img_00101,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00101.jpg,"- Rue du Liban
- شارع لبنان","Latin, Arabic",ICDAR_mini,"Liban
Rue
du",5734.694719314575,,,"Liban
Rue
du",6229.988098144531,,
icdar_tr_img_00104,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00104.jpg,"I can try to extract the text, but this image is a bit small and some signs are blurry, so an accurate full transcription is difficult. Here’s what I can say and how we can improve:

What I can tell from the image:
- There are several Arabic signs/stalls in a fairground setting.
- The most legible items are not easily readable due to distance and blur.

If you can provide:
- A higher-resolution version of the image, or
- Cropped close-ups of the signs (especially the yellow sign in the middle and the red/orange banners on the right),

I will run OCR and give you a precise, line-by-line transcription of all visible text.","Symbols, Arabic",ICDAR_mini,"أحلى
التسالي
بطاطس
حلزوني
فشار
كرسبي
ذرة-
أحلى
ذرة
كرسبي
-",10380.584955215454,,,"أحلى
التسالي
بطاطس
حلزوني
فشار
كرسبي
ذرة-
أحلى
ذرة
كرسبي
-",13262.768983840942,,
icdar_tr_img_00138,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00138.jpg,"- Arabic: حامل المسك
- English (main): HAMIL AL MUSK
- Curved logo text: HAMIL AL-MUSK
- Bottom line: OUD & PERFUMES","Symbols, Arabic, Latin",ICDAR_mini,"AL-MUSK
HAMIL
المسك
حامل
HAMIL
AL
MUSK
OUD
&
PERFUMES
يات
تبارك
الله",9437.652111053467,,,"AL-MUSK
HAMIL
المسك
حامل
HAMIL
AL
MUSK
OUD
&
PERFUMES
يات
تبارك
الله",10206.278085708618,,
icdar_tr_img_00144,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00144.jpg,,"None, Arabic",ICDAR_mini,"حمامات
مصلى
و
نسائي
حمامات
مصلى
و
رجالي
مصلى
حمامات
رجال
حمامات
و
نساء",13294.541835784912,,,"حمامات
مصلى
و
نسائي
حمامات
مصلى
و
رجالي
مصلى
حمامات
رجال
حمامات
و
نساء",16898.610830307007,,
icdar_tr_img_00149,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00149.jpg,,"Latin, Arabic",ICDAR_mini,"شارع
الوصل
Rd
Wasl
الشوعي
Al
شارع
Al
Sho'ee
St",8703.798770904541,,,"شارع
الوصل
Rd
Wasl
الشوعي
Al
شارع
Al
Sho'ee
St",12429.32677268982,,
icdar_tr_img_00168,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00168.jpg,"الرجاء بمنع حمل
السلاح داخل
الصالة",Arabic,ICDAR_mini,"حمل
الرجاء
يمنع
داخل
السلاح
الصالة",6871.028900146484,,,"حمل
الرجاء
يمنع
داخل
السلاح
الصالة",6122.329950332642,,
