sample_id,image_path,question,ground_truths,prediction_azure_intelligence__gpt-5-mini,inference_time_ms_azure_intelligence__gpt-5-mini,extracted_text_azure_intelligence__gpt-5-mini,error_azure_intelligence__gpt-5-mini,prediction_mistral_document_ai__gpt-5-mini,inference_time_ms_mistral_document_ai__gpt-5-mini,extracted_text_mistral_document_ai__gpt-5-mini,error_mistral_document_ai__gpt-5-mini
001d6f557c342ef5a67cd38a29da9e83_4fa9fe07c5b3f0680ef68da40c92e51a,,What millitary vehicle is the Vice Admiral in the image on page 3 driving?,[],NOT FOUND,9295.64118385315,"Vice Adm. Faison conducts an admiral's call with the Navy Medicine team.
NAVY SURGEON GENERAL TRAVEL LOG: GUAM AND HAWAII
Shipmates,
Last week, I traveled with Force Master Chief Terry Prince to Guam and Hawaii.
Here are several trip highlights:
On day one in Guam, I met with over a dozen ombudsmen representing several commands as an
opportunity to hear directly from the families we serve.
Vice Adm. Faison speaks with local command ombudsmen.
1",,NOT FOUND,8731.260061264038,"![img-0.jpeg](img-0.jpeg)
Vice Adm. Faison conducts an admiral's call with the Navy Medicine team.

# NAVY SURGEON GENERAL TRAVEL LOG: GUAM AND HAWAII

Shipmates,

Last week, I traveled with Force Master Chief Terry Prince to Guam and Hawaii.

Here are several trip highlights:

On day one in Guam, I met with over a dozen ombudsmen representing several commands as an opportunity to hear directly from the families we serve.

![img-1.jpeg](img-1.jpeg)
Vice Adm. Faison speaks with local command ombudsmen.",
001d6f557c342ef5a67cd38a29da9e83_6d7cc36223d7bf354edc3eeff4ad0577,,What location is the travel log about?,"[""Guam and Hawaii""]",Guam and Hawaii,11088.680267333984,"Vice Adm. Faison conducts an admiral's call with the Navy Medicine team.
NAVY SURGEON GENERAL TRAVEL LOG: GUAM AND HAWAII
Shipmates,
Last week, I traveled with Force Master Chief Terry Prince to Guam and Hawaii.
Here are several trip highlights:
On day one in Guam, I met with over a dozen ombudsmen representing several commands as an
opportunity to hear directly from the families we serve.
Vice Adm. Faison speaks with local command ombudsmen.
1",,Guam and Hawaii,7726.845264434814,"![img-0.jpeg](img-0.jpeg)
Vice Adm. Faison conducts an admiral's call with the Navy Medicine team.

# NAVY SURGEON GENERAL TRAVEL LOG: GUAM AND HAWAII

Shipmates,

Last week, I traveled with Force Master Chief Terry Prince to Guam and Hawaii.

Here are several trip highlights:

On day one in Guam, I met with over a dozen ombudsmen representing several commands as an opportunity to hear directly from the families we serve.

![img-1.jpeg](img-1.jpeg)
Vice Adm. Faison speaks with local command ombudsmen.",
001d6f557c342ef5a67cd38a29da9e83_9dc0d59810e040b8ec7516667aa289a4,,who arrived in Hawaii in march 19 1998?,[],NOT FOUND,15560.216903686523,"Vice Adm. Faison conducts an admiral's call with the Navy Medicine team.
NAVY SURGEON GENERAL TRAVEL LOG: GUAM AND HAWAII
Shipmates,
Last week, I traveled with Force Master Chief Terry Prince to Guam and Hawaii.
Here are several trip highlights:
On day one in Guam, I met with over a dozen ombudsmen representing several commands as an
opportunity to hear directly from the families we serve.
Vice Adm. Faison speaks with local command ombudsmen.
1",,NOT FOUND,8187.128782272339,"![img-0.jpeg](img-0.jpeg)
Vice Adm. Faison conducts an admiral's call with the Navy Medicine team.

# NAVY SURGEON GENERAL TRAVEL LOG: GUAM AND HAWAII

Shipmates,

Last week, I traveled with Force Master Chief Terry Prince to Guam and Hawaii.

Here are several trip highlights:

On day one in Guam, I met with over a dozen ombudsmen representing several commands as an opportunity to hear directly from the families we serve.

![img-1.jpeg](img-1.jpeg)
Vice Adm. Faison speaks with local command ombudsmen.",
03b0ce944fb20ef2d3bd350d172344f4_2b28a005535c1f1749f5b81764a51652,,WHICH UNIVERSTY GO HIGHEST PARTICIPATION STUDENTS?,"[""CHRIST UNIVERSITY""]",Christ University,7390.120983123779,"Content
Enrichment
Wikipedia Education Program (WEP)
Educators and students around the world contribute to Wikipedia
and other Wikimedia projects in an academic setting
Student Participation from Institutes
SDM Institute
60
Others
367
Christ University
1400
Kalinga Institute of
Social Sciences
110
Andhra Loyola
College
130
Student Participation from Christ University
1247
1196
946
2015
2016
2017
2018
*This is a representational chart showing only certain institutes.
This is not an exhaustive list of institutes partnered with.
Further Initiatives
Internship program for the students of
Christ University, students have continued to
engage with Wikimedia projects even after
WEP
Campus Ambassador Program, to align
WEP activity with A2K's mission of
increasing quality content and reducing
acts of vandalism on Kannada Wikimedia
projects. Ambassadors help the students in
understanding the objective, purpose and
method of participating in WEP assessment
Certificate course in collaboration with
Christ University, on using and editing in
Wikipedia for students, to enable the spread
of content editing and contributing skills on
Wikipedia in vernacular languages.",,Christ University,6654.744863510132,"^{}[] Content Enrichment

# Wikipedia Education Program (WEP)

Educators and students around the world contribute to Wikipedia and other Wikimedia projects in an academic setting

## Student Participation from Institutes
![img-0.jpeg](img-0.jpeg)

*This is a representational chart showing only certain institutes.
This is not an exhaustive list of institutes partnered with.

## Student Participation from Christ University
![img-1.jpeg](img-1.jpeg)

## Further Initiatives

**Internship program** for the students of Christ University, students have continued to engage with Wikimedia projects even after WEP

**Campus Ambassador Program**, to align WEP activity with A2K's mission of increasing quality content and reducing acts of vandalism on Kannada Wikimedia projects. Ambassadors help the students in understanding the objective, purpose and method of participating in WEP assessment

**Certificate course** in collaboration with Christ University, on using and editing in Wikipedia for students, to enable the spread of content editing and contributing skills on Wikipedia in vernacular languages.",
03b0ce944fb20ef2d3bd350d172344f4_e229289181e94b5c9e04f541ceb3c20a,,What was student participation at Christ University in 2017?,"[""1247""]",1247,7696.5837478637695,"Content
Enrichment
Wikipedia Education Program (WEP)
Educators and students around the world contribute to Wikipedia
and other Wikimedia projects in an academic setting
Student Participation from Institutes
SDM Institute
60
Others
367
Christ University
1400
Kalinga Institute of
Social Sciences
110
Andhra Loyola
College
130
Student Participation from Christ University
1247
1196
946
2015
2016
2017
2018
*This is a representational chart showing only certain institutes.
This is not an exhaustive list of institutes partnered with.
Further Initiatives
Internship program for the students of
Christ University, students have continued to
engage with Wikimedia projects even after
WEP
Campus Ambassador Program, to align
WEP activity with A2K's mission of
increasing quality content and reducing
acts of vandalism on Kannada Wikimedia
projects. Ambassadors help the students in
understanding the objective, purpose and
method of participating in WEP assessment
Certificate course in collaboration with
Christ University, on using and editing in
Wikipedia for students, to enable the spread
of content editing and contributing skills on
Wikipedia in vernacular languages.",,1247,6461.600065231323,"^{}[] Content Enrichment

# Wikipedia Education Program (WEP)

Educators and students around the world contribute to Wikipedia and other Wikimedia projects in an academic setting

## Student Participation from Institutes
![img-0.jpeg](img-0.jpeg)

*This is a representational chart showing only certain institutes.
This is not an exhaustive list of institutes partnered with.

## Student Participation from Christ University
![img-1.jpeg](img-1.jpeg)

## Further Initiatives

**Internship program** for the students of Christ University, students have continued to engage with Wikimedia projects even after WEP

**Campus Ambassador Program**, to align WEP activity with A2K's mission of increasing quality content and reducing acts of vandalism on Kannada Wikimedia projects. Ambassadors help the students in understanding the objective, purpose and method of participating in WEP assessment

**Certificate course** in collaboration with Christ University, on using and editing in Wikipedia for students, to enable the spread of content editing and contributing skills on Wikipedia in vernacular languages.",
03b0ce944fb20ef2d3bd350d172344f4_fd0362fab6dc822574e39a6d0bd5f9dd,,WHAT IS FULL FORM OF WEP?,"[""WIKIPEDIA EDUCATION PROGRAM""]",Wikipedia Education Program,6451.517820358276,"Content
Enrichment
Wikipedia Education Program (WEP)
Educators and students around the world contribute to Wikipedia
and other Wikimedia projects in an academic setting
Student Participation from Institutes
SDM Institute
60
Others
367
Christ University
1400
Kalinga Institute of
Social Sciences
110
Andhra Loyola
College
130
Student Participation from Christ University
1247
1196
946
2015
2016
2017
2018
*This is a representational chart showing only certain institutes.
This is not an exhaustive list of institutes partnered with.
Further Initiatives
Internship program for the students of
Christ University, students have continued to
engage with Wikimedia projects even after
WEP
Campus Ambassador Program, to align
WEP activity with A2K's mission of
increasing quality content and reducing
acts of vandalism on Kannada Wikimedia
projects. Ambassadors help the students in
understanding the objective, purpose and
method of participating in WEP assessment
Certificate course in collaboration with
Christ University, on using and editing in
Wikipedia for students, to enable the spread
of content editing and contributing skills on
Wikipedia in vernacular languages.",,Wikipedia Education Program,5529.639959335327,"^{}[] Content Enrichment

# Wikipedia Education Program (WEP)

Educators and students around the world contribute to Wikipedia and other Wikimedia projects in an academic setting

## Student Participation from Institutes
![img-0.jpeg](img-0.jpeg)

*This is a representational chart showing only certain institutes.
This is not an exhaustive list of institutes partnered with.

## Student Participation from Christ University
![img-1.jpeg](img-1.jpeg)

## Further Initiatives

**Internship program** for the students of Christ University, students have continued to engage with Wikimedia projects even after WEP

**Campus Ambassador Program**, to align WEP activity with A2K's mission of increasing quality content and reducing acts of vandalism on Kannada Wikimedia projects. Ambassadors help the students in understanding the objective, purpose and method of participating in WEP assessment

**Certificate course** in collaboration with Christ University, on using and editing in Wikipedia for students, to enable the spread of content editing and contributing skills on Wikipedia in vernacular languages.",
041ed701ad1f04af8af36bb493e17b0f_0ffdaf936a6850a5cc4dbdd2a5741df5,,Who won 1st prize for 2017?,"[""Yann Macherez""]",Ali,18673.381090164185,"Wiki Loves Africa
cc
Ali -_ 00213",,NOT FOUND,9275.199174880981,"# Wiki Loves Africa

![img-0.jpeg](img-0.jpeg)",
041ed701ad1f04af8af36bb493e17b0f_2af73d8aced53b4be9701767a9dff510,,How many people have their faces clearly visible in the photo titled 2016: Music and Dance on page 6?,"[""3""]",NOT FOUND,8898.73719215393,"Wiki Loves Africa
cc
Ali -_ 00213",,NOT FOUND,8118.1371212005615,"# Wiki Loves Africa

![img-0.jpeg](img-0.jpeg)",
041ed701ad1f04af8af36bb493e17b0f_a44e640ca1757ce436ea4f1ad4091880,,What year does the Cultural Fashion and Adornment focus on?,"[""2015""]",NOT FOUND,8316.208124160767,"Wiki Loves Africa
cc
Ali -_ 00213",,NOT FOUND,7670.766830444336,"# Wiki Loves Africa

![img-0.jpeg](img-0.jpeg)",
041ed701ad1f04af8af36bb493e17b0f_f7f6e0fcd910f70263cd2aaa5ef399b4,,What was the name of the competition for 2012 year?,[],Wiki Loves Africa,12541.767120361328,"Wiki Loves Africa
cc
Ali -_ 00213",,Wiki Loves Africa,7751.715898513794,"# Wiki Loves Africa

![img-0.jpeg](img-0.jpeg)",
