sample_id,image_path,ground_truth_boxes,phase,predicted_boxes_claude_sonnet,inference_time_ms_claude_sonnet,error_claude_sonnet,predicted_boxes_gpt-5-mini,inference_time_ms_gpt-5-mini,error_gpt-5-mini,predicted_boxes_gpt-5-nano,inference_time_ms_gpt-5-nano,error_gpt-5-nano
102415,,,P-B,,4686.017751693726,,,12686.348676681519,,,25339.904069900513,
102930,,,P-B,,6716.622114181519,,,10143.05305480957,,,16515.011072158813,
108635,,,P-B,,8273.19884300232,,,16323.594808578491,,,25498.124837875366,
108636,,,P-B,,3788.5420322418213,,,11730.99398612976,,,14131.228923797607,
108646,,,P-B,,7479.492902755737,,,19862.3309135437,,,16247.738122940063,
108647,,,P-B,,11073.368072509766,,,26304.243087768555,,,20676.92995071411,
108648,,,P-B,,8010.921001434326,,,15721.495866775513,,,23258.994817733765,
10946,,,P-B,,6320.199966430664,,,20652.913093566895,,,12796.993970870972,
10948,,,P-B,,7057.963132858276,,,14727.957963943481,,,17357.614755630493,
110118,,,P-B,,4913.528203964233,,,13519.064903259277,,,18847.911834716797,
110150,,,P-B,,5424.60298538208,,,15158.866167068481,,,14122.206211090088,
110151,,,P-B,,5223.406791687012,,,17293.138027191162,,,21343.69707107544,
110152,,,P-B,,6884.629249572754,,,16163.790702819824,,,18058.073043823242,
110153,,,P-B,,6138.033151626587,,,15463.05799484253,,,15482.473850250244,
110164,,,P-B,,3381.3648223876953,,,10442.270994186401,,,12532.27686882019,
110165,,,P-B,,5319.037914276123,,,10661.827087402344,,,19440.53292274475,
110166,,,P-B,,4720.169305801392,,,12175.433874130249,,,16684.87000465393,
110167,,,P-B,,5703.495025634766,,,16191.399335861206,,,22184.740781784058,
110168,,,P-B,,9215.666055679321,,,15667.44589805603,,,22947.515964508057,
11037,,,P-B,,6125.319004058838,,,16553.0002117157,,,17563.992977142334,
117878,,,P-B,,5719.465017318726,,,22220.23868560791,,,23023.005962371826,
117879,,,P-B,,7376.729965209961,,,10948.805093765259,,,21734.283924102783,
117880,,,P-B,,4511.577129364014,,,13729.34103012085,,,23851.436138153076,
117881,,,P-B,,6424.594163894653,,,13521.249055862427,,,20767.63916015625,
117882,,,P-B,,2670.377254486084,,,12067.43311882019,,,20904.836893081665,
117883,,,P-B,,3161.7789268493652,,,15432.399034500122,,,20661.272048950195,
118511,,,P-B,,8870.659112930298,,,17373.902082443237,,,23473.70195388794,
119395,,,P-B,,4949.52917098999,,,17715.463876724243,,,35767.061948776245,
122849,,,P-B,,6346.508026123047,,,14832.921028137207,,,20014.534950256348,
127107,,,P-B,,4802.566051483154,,,13955.64603805542,,,14395.793199539185,
127108,,,P-B,,5737.840890884399,,,13607.50412940979,,,11712.482929229736,
127109,,,P-B,,4099.005937576294,,,11925.455808639526,,,15370.777130126953,
127110,,,P-B,,4808.679819107056,,,17639.023065567017,,,12653.799057006836,
127122,,,P-B,,6072.83091545105,,,13987.81704902649,,,13497.704982757568,
127369,,,P-B,,8794.80004310608,,,19231.966972351074,,,13650.93994140625,
127370,,,P-B,,7680.753946304321,,,19304.476261138916,,,19547.09506034851,
127663,,,P-B,,9534.252643585205,,,19794.059991836548,,,19913.541793823242,
130973,,,P-B,,5840.688228607178,,,16792.550325393677,,,13089.203119277954,
131382,,,P-B,,9468.74213218689,,,17106.088876724243,,,15201.210975646973,
131383,,,P-B,,5164.631128311157,,,13678.44295501709,,,18730.578184127808,
131384,,,P-B,,7684.34476852417,,,14216.305017471313,,,19655.118942260742,
131385,,,P-B,,6953.896999359131,,,15398.522138595581,,,19375.219106674194,
131386,,,P-B,,5635.7481479644775,,,12909.151077270508,,,14889.323949813843,
131588,,,P-B,,8854.851007461548,,,19044.895887374878,,,24162.97674179077,
134095,,,P-B,,6306.732177734375,,,18487.28609085083,,,19184.223890304565,
134096,,,P-B,,4097.876310348511,,,13873.061180114746,,,19242.010831832886,
134110,,,P-B,,5407.550096511841,,,18623.77905845642,,,21481.191873550415,
134111,,,P-B,,4603.413105010986,,,14031.938076019287,,,20446.42996788025,
