sample_id,model,phase,ground_truth_len,prediction_len,cer,wer,has_prediction,length_bin
iam_000_a01-000u,azure_intelligence,Phase 1 (OCR),256,258,0.02734375,0.19607843137254902,True,Long (250-500)
iam_000_a01-003u,azure_intelligence,Phase 1 (OCR),444,433,0.060810810810810814,0.23684210526315788,True,Long (250-500)
iam_000_a01-011u,azure_intelligence,Phase 1 (OCR),386,393,0.04404145077720207,0.3728813559322034,True,Long (250-500)
iam_000_a01-014u,azure_intelligence,Phase 1 (OCR),395,318,0.22531645569620254,0.40298507462686567,True,Long (250-500)
iam_000_a01-026u,azure_intelligence,Phase 1 (OCR),447,454,0.017897091722595078,0.21428571428571427,True,Long (250-500)
iam_000_a01-030u,azure_intelligence,Phase 1 (OCR),451,460,0.031042128603104215,0.28,True,Long (250-500)
iam_000_a01-063u,azure_intelligence,Phase 1 (OCR),383,393,0.033942558746736295,0.3283582089552239,True,Long (250-500)
iam_000_a01-068u,azure_intelligence,Phase 1 (OCR),391,396,0.023017902813299233,0.19402985074626866,True,Long (250-500)
iam_000_a01-077u,azure_intelligence,Phase 1 (OCR),341,345,0.02346041055718475,0.23333333333333334,True,Long (250-500)
iam_000_a01-091u,azure_intelligence,Phase 1 (OCR),369,373,0.032520325203252036,0.26153846153846155,True,Long (250-500)
iam_000_a01-113u,azure_intelligence,Phase 1 (OCR),474,476,0.014767932489451477,0.13580246913580246,True,Long (250-500)
iam_000_a03-071,azure_intelligence,Phase 1 (OCR),376,375,0.05585106382978723,0.265625,True,Long (250-500)
iam_000_a05-039,azure_intelligence,Phase 1 (OCR),548,472,0.21532846715328466,0.5121951219512195,True,Very Long (500-1000)
iam_000_a05-058,azure_intelligence,Phase 1 (OCR),327,332,0.027522935779816515,0.24561403508771928,True,Long (250-500)
iam_000_a05-084,azure_intelligence,Phase 1 (OCR),394,401,0.03299492385786802,0.3548387096774194,True,Long (250-500)
iam_000_a05-099,azure_intelligence,Phase 1 (OCR),405,418,0.04691358024691358,0.36231884057971014,True,Long (250-500)
iam_000_a05-104,azure_intelligence,Phase 1 (OCR),367,378,0.03814713896457766,0.3620689655172414,True,Long (250-500)
iam_002_a01-003,azure_intelligence,Phase 1 (OCR),444,454,0.17567567567567569,0.4342105263157895,True,Long (250-500)
iam_003_a01-007x,azure_intelligence,Phase 1 (OCR),375,381,0.04,0.21875,True,Long (250-500)
iam_007_a01-014,azure_intelligence,Phase 1 (OCR),395,402,0.027848101265822784,0.208955223880597,True,Long (250-500)
iam_008_a01-026x,azure_intelligence,Phase 1 (OCR),447,454,0.053691275167785234,0.18571428571428572,True,Long (250-500)
iam_009_a01-020,azure_intelligence,Phase 1 (OCR),371,377,0.018867924528301886,0.19047619047619047,True,Long (250-500)
iam_013_a01-053,azure_intelligence,Phase 1 (OCR),418,426,0.04784688995215311,0.3492063492063492,True,Long (250-500)
iam_015_a01-063x,azure_intelligence,Phase 1 (OCR),383,391,0.04177545691906005,0.3283582089552239,True,Long (250-500)
iam_016_a01-077,azure_intelligence,Phase 1 (OCR),341,349,0.04398826979472141,0.2833333333333333,True,Long (250-500)
iam_016_a01-102,azure_intelligence,Phase 1 (OCR),373,385,0.04289544235924933,0.3181818181818182,True,Long (250-500)
iam_018_a01-107,azure_intelligence,Phase 1 (OCR),313,322,0.04472843450479233,0.4,True,Long (250-500)
iam_019_a01-122,azure_intelligence,Phase 1 (OCR),403,416,0.03722084367245657,0.2876712328767123,True,Long (250-500)
iam_020_a01-132,azure_intelligence,Phase 1 (OCR),406,414,0.034482758620689655,0.27419354838709675,True,Long (250-500)
iam_023_a02-008,azure_intelligence,Phase 1 (OCR),459,461,0.023965141612200435,0.20833333333333334,True,Long (250-500)
iam_025_a02-020,azure_intelligence,Phase 1 (OCR),316,321,0.0189873417721519,0.19642857142857142,True,Long (250-500)
iam_028_a02-050,azure_intelligence,Phase 1 (OCR),334,339,0.05688622754491018,0.16071428571428573,True,Long (250-500)
iam_029_a02-053,azure_intelligence,Phase 1 (OCR),408,417,0.022058823529411766,0.27692307692307694,True,Long (250-500)
iam_030_a02-057,azure_intelligence,Phase 1 (OCR),332,337,0.04216867469879518,0.35714285714285715,True,Long (250-500)
iam_036_a02-086,azure_intelligence,Phase 1 (OCR),313,320,0.03514376996805112,0.24561403508771928,True,Long (250-500)
iam_037_a02-124,azure_intelligence,Phase 1 (OCR),216,223,0.041666666666666664,0.4117647058823529,True,Medium (100-250)
