sample_id,model,ground_truth_len,prediction_len,cer,wer,has_prediction,phase,language_simplified
icdar_tr_img_00008,azure_intelligence,58,60,0.36666666666666664,0.5,True,Phase 1 (OCR),Arabic
icdar_tr_img_00019,azure_intelligence,138,145,0.5379310344827586,0.625,True,Phase 1 (OCR),Symbols
icdar_tr_img_00043,azure_intelligence,14,10,2.1,2.0,True,Phase 1 (OCR),None
icdar_tr_img_00065,azure_intelligence,38,32,0.9375,1.1666666666666667,True,Phase 1 (OCR),Arabic
icdar_tr_img_00101,azure_intelligence,12,26,0.7692307692307693,0.8,True,Phase 1 (OCR),Arabic
icdar_tr_img_00104,azure_intelligence,61,78,0.5897435897435898,0.6875,True,Phase 1 (OCR),Symbols
icdar_tr_img_00138,azure_intelligence,68,64,0.625,0.6428571428571429,True,Phase 1 (OCR),Symbols
icdar_tr_img_00144,azure_intelligence,78,65,1.0615384615384615,1.5833333333333333,True,Phase 1 (OCR),None
icdar_tr_img_00149,azure_intelligence,46,46,0.43478260869565216,0.4,True,Phase 1 (OCR),Arabic
icdar_tr_img_00168,azure_intelligence,34,34,0.4117647058823529,0.5,True,Phase 1 (OCR),Arabic
icdar_tr_img_00170,azure_intelligence,27,50,0.74,0.7142857142857143,True,Phase 1 (OCR),Symbols
icdar_tr_img_00194,azure_intelligence,202,225,0.40444444444444444,0.4864864864864865,True,Phase 1 (OCR),Arabic
icdar_tr_img_00198,azure_intelligence,61,42,1.0714285714285714,1.0,True,Phase 1 (OCR),Arabic
icdar_tr_img_00214,azure_intelligence,47,47,0.6382978723404256,0.6,True,Phase 1 (OCR),Symbols
icdar_tr_img_00218,azure_intelligence,60,64,0.59375,0.5454545454545454,True,Phase 1 (OCR),Arabic
icdar_tr_img_00222,azure_intelligence,574,582,0.4690721649484536,0.5775862068965517,True,Phase 1 (OCR),Symbols
icdar_tr_img_00237,azure_intelligence,7,4,1.0,1.0,True,Phase 1 (OCR),Arabic
icdar_tr_img_00248,azure_intelligence,63,68,0.5882352941176471,0.6428571428571429,True,Phase 1 (OCR),Symbols
icdar_tr_img_00259,azure_intelligence,46,54,0.7037037037037037,0.8,True,Phase 1 (OCR),Arabic
icdar_tr_img_00260,azure_intelligence,44,43,0.6511627906976745,1.0,True,Phase 1 (OCR),Arabic
icdar_tr_img_00269,azure_intelligence,15,15,0.8,1.3333333333333333,True,Phase 1 (OCR),Arabic
icdar_tr_img_00277,azure_intelligence,103,104,0.625,0.7368421052631579,True,Phase 1 (OCR),Arabic
icdar_tr_img_00278,azure_intelligence,43,54,0.6296296296296297,0.6666666666666666,True,Phase 1 (OCR),Arabic
icdar_tr_img_00285,azure_intelligence,28,27,0.48148148148148145,0.75,True,Phase 1 (OCR),Arabic
icdar_tr_img_00293,azure_intelligence,60,64,0.546875,0.7272727272727273,True,Phase 1 (OCR),Arabic
icdar_tr_img_00298,azure_intelligence,55,101,0.6732673267326733,0.8947368421052632,True,Phase 1 (OCR),Arabic
icdar_tr_img_00310,azure_intelligence,54,54,0.5370370370370371,0.5714285714285714,True,Phase 1 (OCR),Arabic
icdar_tr_img_00334,azure_intelligence,64,67,0.7313432835820896,0.8333333333333334,True,Phase 1 (OCR),Arabic
icdar_tr_img_00383,azure_intelligence,60,57,0.5789473684210527,0.6666666666666666,True,Phase 1 (OCR),Arabic
icdar_tr_img_00384,azure_intelligence,20,20,0.25,0.6666666666666666,True,Phase 1 (OCR),Arabic
icdar_tr_img_00395,azure_intelligence,28,27,0.37037037037037035,0.6,True,Phase 1 (OCR),Arabic
icdar_tr_img_00409,azure_intelligence,46,46,0.2826086956521739,0.25,True,Phase 1 (OCR),Arabic
icdar_tr_img_00456,azure_intelligence,152,158,0.7911392405063291,0.8333333333333334,True,Phase 1 (OCR),Arabic
icdar_tr_img_00459,azure_intelligence,61,65,2.0,3.0,True,Phase 1 (OCR),None
icdar_tr_img_00512,azure_intelligence,6,6,0.6666666666666666,1.0,True,Phase 1 (OCR),Arabic
icdar_tr_img_00543,azure_intelligence,123,126,0.6428571428571429,0.72,True,Phase 1 (OCR),Arabic
icdar_tr_img_00557,azure_intelligence,107,112,0.48214285714285715,0.5,True,Phase 1 (OCR),Arabic
icdar_tr_img_00573,azure_intelligence,27,29,2.413793103448276,3.6,True,Phase 1 (OCR),Arabic
icdar_tr_img_00591,azure_intelligence,16,15,0.6666666666666666,1.0,True,Phase 1 (OCR),Arabic
icdar_tr_img_00593,azure_intelligence,30,30,0.2,0.3333333333333333,True,Phase 1 (OCR),Arabic
icdar_tr_img_00620,azure_intelligence,70,70,0.5285714285714286,0.6666666666666666,True,Phase 1 (OCR),Symbols
icdar_tr_img_00638,azure_intelligence,110,110,0.7363636363636363,0.9,True,Phase 1 (OCR),Arabic
icdar_tr_img_00661,azure_intelligence,82,66,1.0909090909090908,1.1875,True,Phase 1 (OCR),Arabic
icdar_tr_img_00682,azure_intelligence,26,20,1.05,1.0,True,Phase 1 (OCR),Arabic
icdar_tr_img_00690,azure_intelligence,67,76,0.39473684210526316,0.5384615384615384,True,Phase 1 (OCR),Arabic
icdar_tr_img_00695,azure_intelligence,33,93,0.8172043010752689,0.7857142857142857,True,Phase 1 (OCR),Arabic
icdar_tr_img_00707,azure_intelligence,228,226,0.2743362831858407,0.375,True,Phase 1 (OCR),Symbols
icdar_tr_img_00708,azure_intelligence,35,35,0.4,0.375,True,Phase 1 (OCR),Arabic
icdar_tr_img_00715,azure_intelligence,70,68,0.17647058823529413,0.15384615384615385,True,Phase 1 (OCR),Arabic
icdar_tr_img_00721,azure_intelligence,54,61,0.7868852459016393,0.9090909090909091,True,Phase 1 (OCR),None
icdar_tr_img_00742,azure_intelligence,27,27,0.4444444444444444,0.5,True,Phase 1 (OCR),Arabic
icdar_tr_img_00752,azure_intelligence,14,14,0.07142857142857142,0.0,True,Phase 1 (OCR),Arabic
icdar_tr_img_00783,azure_intelligence,91,175,0.7028571428571428,0.7037037037037037,True,Phase 1 (OCR),Arabic
icdar_tr_img_00846,azure_intelligence,43,60,0.7833333333333333,0.9166666666666666,True,Phase 1 (OCR),Arabic
icdar_tr_img_00878,azure_intelligence,138,147,0.6598639455782312,0.7333333333333333,True,Phase 1 (OCR),None
icdar_tr_img_00902,azure_intelligence,86,83,0.927710843373494,0.8666666666666667,True,Phase 1 (OCR),Arabic
icdar_tr_img_00910,azure_intelligence,79,95,0.8526315789473684,1.0,True,Phase 1 (OCR),Symbols
icdar_tr_img_00916,azure_intelligence,5,5,5.6,7.0,True,Phase 1 (OCR),None
icdar_tr_img_00951,azure_intelligence,83,83,0.3373493975903614,0.36363636363636365,True,Phase 1 (OCR),Arabic
