Language,Model,CER Mean,WER Mean,Sample Count
Arabic,azure_intelligence,0.6265,0.7594,45
Arabic,donut,2.0544,5.5917,45
Arabic,gpt-5-mini,0.6709,0.8074,90
Arabic,gpt-5-nano,11.9272,7.0714,90
Arabic,mistral_document_ai,1.0601,2.2469,45
Bangla,azure_intelligence,2.3241,1.6281,58
Bangla,donut,1.7922,3.8563,58
Bangla,gpt-5-mini,1.0116,1.0581,116
Bangla,gpt-5-nano,7.6532,4.3286,116
Bangla,mistral_document_ai,1.7412,1.6351,58
Chinese,azure_intelligence,0.4127,0.584,48
Chinese,donut,1.3556,2.4453,48
Chinese,gpt-5-mini,0.3637,0.5165,96
Chinese,gpt-5-nano,3.6709,1.9699,96
Chinese,mistral_document_ai,1.4366,1.0388,48
Hindi,azure_intelligence,0.4352,0.5708,49
Hindi,donut,1.4705,2.7119,49
Hindi,gpt-5-mini,0.4513,0.5972,98
Hindi,gpt-5-nano,5.1898,2.6538,98
Hindi,mistral_document_ai,0.8002,0.9978,49
Japanese,azure_intelligence,0.4713,0.6936,43
Japanese,donut,1.9839,4.8025,43
Japanese,gpt-5-mini,1.0005,1.1533,86
Japanese,gpt-5-nano,13.0193,7.9007,86
Japanese,mistral_document_ai,1.5139,2.1176,43
Korean,azure_intelligence,0.6377,0.785,37
Korean,donut,1.3159,3.2222,37
Korean,gpt-5-mini,2.7971,1.577,74
Korean,gpt-5-nano,9.5871,5.3121,74
Korean,mistral_document_ai,1.0633,1.6918,37
Latin,azure_intelligence,0.4898,0.7614,17
Latin,donut,0.9215,1.7411,17
Latin,gpt-5-mini,0.5146,0.689,34
Latin,gpt-5-nano,14.2877,7.7814,34
Latin,mistral_document_ai,0.689,1.0764,17
Mixed,azure_intelligence,0.5807,0.7761,51
Mixed,donut,4.2596,10.886,51
Mixed,gpt-5-mini,8.6115,5.2056,102
Mixed,gpt-5-nano,39.534,21.0955,102
Mixed,mistral_document_ai,1.9012,4.4955,51
None,azure_intelligence,1.0993,1.3576,68
None,donut,3.5071,11.3501,68
None,gpt-5-mini,7.8141,4.8849,136
None,gpt-5-nano,33.4958,19.9579,136
None,mistral_document_ai,1.5395,4.6074,68
Symbols,azure_intelligence,0.6885,0.9744,84
Symbols,donut,2.9607,7.7985,84
Symbols,gpt-5-mini,9.8977,5.6846,168
Symbols,gpt-5-nano,35.1064,20.2695,168
Symbols,mistral_document_ai,1.3174,3.1069,84
