sample_id,model,phase,ground_truth_len,prediction_len,cer,wer,inference_time_ms,has_prediction
rxpad_testing_data_prescr-102125,azure_intelligence,Phase P-A (OCR),2008,1384,0.4689306358381503,0.22088353413654618,8781.439065933228,True
rxpad_testing_data_prescr-102126,azure_intelligence,Phase P-A (OCR),1468,1290,0.1875968992248062,0.136986301369863,18258.67080688477,True
rxpad_testing_data_prescr-102127,azure_intelligence,Phase P-A (OCR),843,433,0.9584295612009238,0.625,2533.9198112487793,True
rxpad_testing_data_prescr-102128,azure_intelligence,Phase P-A (OCR),1501,956,0.75,0.7329192546583851,3305.6299686431885,True
rxpad_testing_data_prescr-102129,azure_intelligence,Phase P-A (OCR),2417,1117,1.2551477170993732,0.923469387755102,3426.6159534454346,True
rxpad_testing_data_prescr-102130,azure_intelligence,Phase P-A (OCR),587,239,1.4602510460251046,0.525,2714.785099029541,True
rxpad_testing_data_prescr-102131,azure_intelligence,Phase P-A (OCR),630,382,0.6596858638743456,0.35,2821.776866912842,True
rxpad_testing_data_prescr-102132,azure_intelligence,Phase P-A (OCR),568,344,0.7093023255813954,0.44642857142857145,2797.0478534698486,True
rxpad_testing_data_prescr-102133,azure_intelligence,Phase P-A (OCR),4430,1798,1.506674082313682,0.7155688622754491,3037.1909141540527,True
rxpad_testing_data_prescr-102134,azure_intelligence,Phase P-A (OCR),603,252,1.4047619047619047,1.0810810810810811,7066.169023513794,True
rxpad_testing_data_prescr-102135,azure_intelligence,Phase P-A (OCR),917,426,1.215962441314554,0.6,10037.77527809143,True
rxpad_testing_data_prescr-102136,azure_intelligence,Phase P-A (OCR),725,398,0.9020100502512562,0.6056338028169014,3887.310266494751,True
rxpad_testing_data_prescr-102137,azure_intelligence,Phase P-A (OCR),882,596,0.4865771812080537,0.29069767441860467,2732.5150966644287,True
rxpad_testing_data_prescr-102138,azure_intelligence,Phase P-A (OCR),2485,1059,1.360717658168083,0.88268156424581,2880.901336669922,True
rxpad_testing_data_prescr-102139,azure_intelligence,Phase P-A (OCR),905,624,0.8910256410256411,0.8804347826086957,2679.5220375061035,True
rxpad_testing_data_prescr-102140,azure_intelligence,Phase P-A (OCR),1544,726,1.1666666666666667,0.5362318840579711,6089.382886886597,True
rxpad_testing_data_prescr-102141,azure_intelligence,Phase P-A (OCR),436,308,0.4707792207792208,0.43902439024390244,2730.8459281921387,True
rxpad_testing_data_prescr-102142,azure_intelligence,Phase P-A (OCR),1680,671,1.5052160953800298,0.7310924369747899,2663.5239124298096,True
rxpad_testing_data_prescr-102143,azure_intelligence,Phase P-A (OCR),842,747,0.9022757697456493,0.8308823529411765,4297.457695007324,True
rxpad_testing_data_prescr-102144,azure_intelligence,Phase P-A (OCR),3639,1356,1.7116519174041298,1.1788617886178863,3999.9520778656006,True
rxpad_testing_data_prescr-102145,azure_intelligence,Phase P-A (OCR),680,305,1.2950819672131149,0.631578947368421,6011.94167137146,True
rxpad_testing_data_prescr-102146,azure_intelligence,Phase P-A (OCR),606,258,1.441860465116279,1.0476190476190477,4510.2698802948,True
rxpad_testing_data_prescr-102147,azure_intelligence,Phase P-A (OCR),750,468,0.6282051282051282,0.3783783783783784,3957.873106002808,True
rxpad_testing_data_prescr-102148,azure_intelligence,Phase P-A (OCR),1736,676,1.5946745562130178,0.7478260869565218,2839.8139476776123,True
rxpad_testing_data_prescr-102149,azure_intelligence,Phase P-A (OCR),1428,630,1.2682539682539682,0.5175438596491229,2683.3481788635254,True
rxpad_testing_data_prescr-102150,azure_intelligence,Phase P-A (OCR),318,183,0.8579234972677595,0.6923076923076923,3698.752880096435,True
rxpad_testing_data_prescr-102151,azure_intelligence,Phase P-A (OCR),677,503,0.37773359840954274,0.21176470588235294,2737.1468544006348,True
rxpad_testing_data_prescr-102152,azure_intelligence,Phase P-A (OCR),1241,534,1.3295880149812733,0.7333333333333333,2710.0861072540283,True
rxpad_testing_data_prescr-102153,azure_intelligence,Phase P-A (OCR),1934,833,1.3385354141656662,0.7397260273972602,2790.1947498321533,True
rxpad_testing_data_prescr-102154,azure_intelligence,Phase P-A (OCR),1354,574,1.3815331010452963,0.8076923076923077,2771.4388370513916,True
rxpad_testing_data_prescr-102155,azure_intelligence,Phase P-A (OCR),676,287,1.362369337979094,0.5423728813559322,4937.259197235107,True
rxpad_testing_data_prescr-102156,azure_intelligence,Phase P-A (OCR),2526,952,1.6722689075630253,1.0,2742.40779876709,True
rxpad_testing_data_prescr-102157,azure_intelligence,Phase P-A (OCR),628,305,1.0655737704918034,0.7333333333333333,2624.8602867126465,True
rxpad_testing_data_prescr-102158,azure_intelligence,Phase P-A (OCR),962,405,1.3901234567901235,0.6103896103896104,4968.89591217041,True
rxpad_testing_data_prescr-102159,azure_intelligence,Phase P-A (OCR),769,391,1.0,0.5135135135135135,2586.9340896606445,True
rxpad_testing_data_prescr-102160,azure_intelligence,Phase P-A (OCR),3516,1396,1.5680515759312321,0.8488372093023255,2900.057792663574,True
rxpad_testing_data_prescr-102161,azure_intelligence,Phase P-A (OCR),1764,669,1.7055306427503736,0.8739495798319328,2795.5191135406494,True
rxpad_testing_data_prescr-102162,azure_intelligence,Phase P-A (OCR),765,374,1.085561497326203,0.5416666666666666,8335.62183380127,True
rxpad_testing_data_prescr-102163,azure_intelligence,Phase P-A (OCR),1590,581,1.7710843373493976,1.043859649122807,4968.525171279907,True
rxpad_testing_data_prescr-102164,azure_intelligence,Phase P-A (OCR),2295,911,1.5521405049396269,0.9761904761904762,6897.336959838867,True
rxpad_testing_data_prescr-102165,azure_intelligence,Phase P-A (OCR),1332,572,1.3461538461538463,0.6764705882352942,2607.7020168304443,True
