phase,sample_id,ground_truth_box_count,azure_intelligence_box_count,azure_intelligence_cat1_count,azure_intelligence_cat2_count,azure_intelligence_cat3_count,azure_intelligence_cat4_count,azure_intelligence_cat5_count,azure_intelligence_inference_time_ms,gpt-5-mini_box_count,gpt-5-mini_cat1_count,gpt-5-mini_cat2_count,gpt-5-mini_cat3_count,gpt-5-mini_cat4_count,gpt-5-mini_cat5_count,gpt-5-mini_inference_time_ms,gpt-5-nano_box_count,gpt-5-nano_cat1_count,gpt-5-nano_cat2_count,gpt-5-nano_cat3_count,gpt-5-nano_cat4_count,gpt-5-nano_cat5_count,gpt-5-nano_inference_time_ms,mistral_document_ai_box_count,mistral_document_ai_cat1_count,mistral_document_ai_cat2_count,mistral_document_ai_cat3_count,mistral_document_ai_cat4_count,mistral_document_ai_cat5_count,mistral_document_ai_inference_time_ms
P-A,102415,7,137,137,0,0,0,0,3308.096170425415,,,,,,,,,,,,,,,0,0,0,0,0,0,4029.226541519165
P-A,102930,5,58,58,0,0,0,0,3261.4190578460693,,,,,,,,,,,,,,,0,0,0,0,0,0,2990.1089668273926
P-A,108635,11,96,94,2,0,0,0,3177.928924560547,,,,,,,,,,,,,,,0,0,0,0,0,0,2609.886884689331
P-A,108636,4,90,81,9,0,0,0,3255.0790309906006,,,,,,,,,,,,,,,0,0,0,0,0,0,1596.5969562530518
P-A,108646,12,113,113,0,0,0,0,3515.011787414551,,,,,,,,,,,,,,,0,0,0,0,0,0,4164.307117462158
P-A,108647,15,109,109,0,0,0,0,3301.131010055542,,,,,,,,,,,,,,,0,0,0,0,0,0,5231.7070960998535
P-A,108648,11,108,108,0,0,0,0,3430.377960205078,,,,,,,,,,,,,,,0,0,0,0,0,0,2976.6929149627686
P-A,10946,14,66,66,0,0,0,0,3229.1929721832275,,,,,,,,,,,,,,,0,0,0,0,0,0,2680.4418563842773
P-A,10948,11,57,56,1,0,0,0,3248.6658096313477,,,,,,,,,,,,,,,0,0,0,0,0,0,5148.666858673096
P-A,110118,11,168,168,0,0,0,0,4717.963933944702,,,,,,,,,,,,,,,0,0,0,0,0,0,6346.287965774536
P-A,110150,8,88,88,0,0,0,0,5529.295921325684,,,,,,,,,,,,,,,0,0,0,0,0,0,2600.154161453247
P-A,110151,6,82,79,3,0,0,0,3246.433973312378,,,,,,,,,,,,,,,0,0,0,0,0,0,2318.183183670044
P-A,110152,8,82,76,6,0,0,0,3311.802864074707,,,,,,,,,,,,,,,0,0,0,0,0,0,3272.0248699188232
P-A,110153,6,87,86,1,0,0,0,6641.327857971191,,,,,,,,,,,,,,,0,0,0,0,0,0,2870.4261779785156
P-A,110164,9,120,120,0,0,0,0,3409.38401222229,,,,,,,,,,,,,,,0,0,0,0,0,0,3960.39080619812
P-A,110165,6,117,117,0,0,0,0,4626.564979553223,,,,,,,,,,,,,,,0,0,0,0,0,0,3466.603994369507
P-A,110166,12,119,119,0,0,0,0,3490.309000015259,,,,,,,,,,,,,,,0,0,0,0,0,0,4683.043003082275
P-A,110167,11,116,116,0,0,0,0,7028.862953186035,,,,,,,,,,,,,,,0,0,0,0,0,0,4105.715036392212
P-A,110168,15,110,110,0,0,0,0,3398.122787475586,,,,,,,,,,,,,,,0,0,0,0,0,0,5212.615013122559
